step,kmc_time,total_energy,energy_per_atom,energy_per_puo2,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,crystalline_core_size,growth_front_size,accepted_event_kind,event_applied,predicted_delta_E,exact_delta_E_if_checked,exact_delta_order_if_checked,order_biased_score_if_checked,max_exact_delta_e_above,reject_for_close_contact,used_exact_rate,exact_checked_candidates,uncertainty,good_event_probability,total_rate,candidate_events_requested,candidate_events_generated,candidate_events_rejected,current_max_displacement,temperature,order_bias_lambda,n_jobs
0,1.4277793013813608e-14,-6526.818533829573,-15.54004412816565,-46.620132384496955,133.0,214.0,347.0,241.0,106.0,1.5095238095238095,0.5190476190476191,0.6688102893890675,0.7157738095238095,2.7214514407684103,1.901965183270961,2.004449605097684,2.8466961115208957,242.0,163.0,growth_front,1,-0.022603210948636,-0.06175717050332352,0.0,-0.06175717050332352,0.2,0,0,12,0.012089157286759461,0.839875689838324,57516758551302.8,64,64,0,0.35,2600.0,0.5,1
1,1.8983661663400223e-14,,,,,,,,,,,,,,,,,,,random_surface,1,-0.016801511410816997,0.0033666817356063916,0.0,0.0033666817356063916,0.2,0,0,12,0.0015432060129776676,0.5983200211530819,51177157790360.34,64,64,0,0.35,2600.0,0.5,1
2,2.7204429383635318e-14,,,,,,,,,,,,,,,,,,,coordination,1,0.01355454077006175,0.05254519741734143,0.0,0.05254519741734143,0.2,0,0,12,0.003148681336041595,0.4045898046472011,48227977512714.75,64,64,0,0.35,2600.0,0.5,1
3,7.399456538343338e-14,,,,,,,,,,,,,,,,,,,local_cluster_affine,1,-0.09125892957285599,-0.05611880118203172,0.0,-0.05611880118203172,0.2,0,1,12,0.004988011823987781,0.9227904024924245,48593057210978.87,64,64,0,0.35,2600.0,0.5,1
4,1.1330018741555822e-13,,,,,,,,,,,,,,,,,,,rejected_coordination,0,0.30700879630222366,0.37847933041658877,0.0,0.37847933041658877,0.2,0,0,13,0.02233582601813322,0.008906909022232852,54631910389518.7,64,64,0,0.35,2600.0,0.5,1
5,1.4049964981644255e-13,,,,,,,,,,,,,,,,,,,surface,1,-0.027708533964601958,-0.06650825452875431,0.0,-0.06650825452875431,0.2,0,1,12,0.014229296689962432,0.9235201418965386,55611607888692.766,64,64,0,0.35,2600.0,0.5,1
6,1.5487265646892967e-13,,,,,,,,,,,,,,,,,,,local_cluster_affine,1,0.010011992838991356,-0.01867449061814641,0.0,-0.01867449061814641,0.2,0,0,12,0.012622474095302878,0.32877819292643,59852318877154.914,64,64,0,0.35,2600.0,0.5,1
7,1.6942868442513552e-13,,,,,,,,,,,,,,,,,,,random_surface,1,-0.002884940368080355,-0.07426578872145484,0.0,-0.07426578872145484,0.2,0,0,12,0.004218116760816692,0.5539501345310394,49657149626136.53,64,64,0,0.35,2600.0,0.5,1
8,1.848510558787276e-13,,,,,,,,,,,,,,,,,,,surface,1,0.02797326289693113,0.06879811297688221,0.0,0.06879811297688221,0.2,0,0,13,0.005225272388242771,0.7678064560178809,53004271183120.7,64,64,0,0.35,2600.0,0.5,1
9,2.1499422563868457e-13,,,,,,,,,,,,,,,,,,,local_cluster_affine,1,0.026413564807974018,-0.002127300904008367,0.0,-0.002127300904008367,0.2,0,0,13,0.00298038585644576,0.29729175421127857,60315044682631.39,64,64,0,0.35,2600.0,0.5,1
10,2.4550383329551764e-13,,,,,,,,,,,,,,,,,,,surface,1,0.03543670558034557,0.014334101689364331,0.0,0.014334101689364331,0.2,0,1,12,0.031603143985139505,0.21440698320982268,48705739641200.83,64,64,0,0.35,2600.0,0.5,1
11,2.539503725889202e-13,,,,,,,,,,,,,,,,,,,random_surface,1,0.08939333641701953,0.00991662931097892,0.0,0.00991662931097892,0.2,0,0,12,0.00012000625724112313,0.2957932977559611,51854532839990.58,64,64,0,0.35,2600.0,0.5,1
12,2.881806239605862e-13,,,,,,,,,,,,,,,,,,,rejected_surface,0,0.04272946669178087,0.20887543130858788,0.0,0.20887543130858788,0.2,0,0,11,0.004846830661141964,0.47867509966922994,45494192425294.23,64,64,0,0.35,2600.0,0.5,1
13,2.998281563132745e-13,,,,,,,,,,,,,,,,,,,snap_to_fluorite_site,1,0.13222216264134642,0.043972718389102994,0.0,0.043972718389102994,0.2,0,0,12,0.004417654492702733,0.15349023917525065,49377988668053.805,64,64,0,0.35,2600.0,0.5,1
14,3.1101984790775815e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.0076232242849637935,-0.05128879922316543,0.0,-0.05128879922316543,0.2,0,0,13,0.010354624182527326,0.7065746368253285,58593328969238.89,64,64,0,0.35,2600.0,0.5,1
15,3.150710520985824e-13,,,,,,,,,,,,,,,,,,,local_cluster_affine,1,0.028266569362266163,-0.003782741502814879,0.0,-0.003782741502814879,0.2,0,0,13,0.02178010196607811,0.6228958139703465,45858768918032.91,64,64,0,0.35,2600.0,0.5,1
16,3.44591157160829e-13,,,,,,,,,,,,,,,,,,,coordination,1,0.001943839107309329,0.018278776804528718,0.0,0.018278776804528718,0.2,0,0,12,0.003319656560528232,0.5728897122114409,55889733178989.625,64,64,0,0.35,2600.0,0.5,1
17,3.6546545664214324e-13,,,,,,,,,,,,,,,,,,,rejected_snap_to_fluorite_site,0,0.1326760866931848,0.37312582341470346,0.0,0.37312582341470346,0.2,0,0,13,0.02640347518947285,0.19909208802828648,55461220585678.41,64,64,0,0.35,2600.0,0.5,1
18,3.8404862585288473e-13,,,,,,,,,,,,,,,,,,,surface,1,0.07688820361884442,-0.15580480171019673,0.0,-0.15580480171019673,0.2,0,0,11,0.009494597565743612,0.29794006971375064,55940528458500.82,64,64,0,0.35,2600.0,0.5,1
19,4.1070298579813957e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.13598761286483144,-0.3334004268873443,0.0,-0.3334004268873443,0.2,0,1,12,0.0016138350786135125,0.8979258950878957,48472606287660.67,64,64,0,0.35,2600.0,0.5,1
20,4.1133436148463743e-13,,,,,,,,,,,,,,,,,,,rejected_surface_compression,0,0.44691701038917064,0.3890403072893598,0.0,0.3890403072893598,0.2,0,0,13,0.012258276629020737,0.01317937835162083,51368998055129.945,64,64,0,0.35,2600.0,0.5,1
21,4.1283955871675693e-13,,,,,,,,,,,,,,,,,,,coordination,1,-0.009774847156381043,0.014662335166182316,0.0,0.014662335166182316,0.2,0,0,13,0.002860047219555532,0.6582470174288195,49788525804707.03,64,64,0,0.35,2600.0,0.5,1
22,4.1809079515536824e-13,,,,,,,,,,,,,,,,,,,surface,1,-0.04107138537330946,-0.013552402081991488,0.0,-0.013552402081991488,0.2,0,0,13,0.00016702789797146123,0.6737983165647454,56043098720145.53,64,64,0,0.35,2600.0,0.5,1
23,4.227647102189683e-13,,,,,,,,,,,,,,,,,,,surface,1,0.021876077649575186,-0.2135923119837031,0.0,-0.2135923119837031,0.2,0,0,13,0.0010163867746155707,0.3542517297662245,58127320476681.68,64,64,0,0.35,2600.0,0.5,1
24,4.5109416589881736e-13,,,,,,,,,,,,,,,,,,,random_bulk,1,-0.003014565449658625,0.07431934213925295,0.0,0.07431934213925295,0.2,0,0,13,0.0025662701873966198,0.7687531013689427,56104845948032.41,64,64,0,0.35,2600.0,0.5,1
25,4.664892632899366e-13,,,,,,,,,,,,,,,,,,,local_cluster_affine,1,-0.043385384692205986,-0.0047473238607511625,0.0,-0.0047473238607511625,0.2,0,0,12,0.004171697868060098,0.8486918759496701,57699431169835.8,64,64,0,0.35,2600.0,0.5,1
26,4.949158849054287e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.17216228418145585,-0.07371710918520513,0.0,-0.07371710918520513,0.2,0,1,12,0.014395832262316846,0.9863819824413633,54869085586293.984,64,64,0,0.35,2600.0,0.5,1
27,4.995979068007825e-13,,,,,,,,,,,,,,,,,,,coordination,1,0.09216220993152321,0.07274583793095957,0.0,0.07274583793095957,0.2,0,0,13,0.0047374476474755026,0.09066621704672002,57528704954229.59,64,64,0,0.35,2600.0,0.5,1
28,5.031047496535211e-13,,,,,,,,,,,,,,,,,,,growth_front,1,0.01854955656057906,0.019698335087005248,0.0,0.019698335087005248,0.2,0,0,12,0.003525081262784735,0.31332019340645456,55052302471318.64,64,64,0,0.35,2600.0,0.5,1
29,5.209643284343489e-13,,,,,,,,,,,,,,,,,,,random_surface,1,-0.005624984344798965,0.005632761961681609,0.0,0.005632761961681609,0.2,0,0,12,0.00027243973928289377,0.5550601336838629,57077418452334.41,64,64,0,0.35,2600.0,0.5,1
30,5.434948056628493e-13,,,,,,,,,,,,,,,,,,,rejected_coordination,0,0.007800951901326768,0.562300700841643,0.0,0.562300700841643,0.2,0,0,13,0.0037637773116132945,0.29506652218243357,57068584138859.734,64,64,0,0.35,2600.0,0.5,1
31,5.644953543888331e-13,,,,,,,,,,,,,,,,,,,random_surface,1,0.08516927433136112,0.10837253483847142,0.006599546676506307,0.10507276150021827,0.2,0,0,13,0.004103563496822178,0.04516646234479145,54405324906437.34,64,64,0,0.35,2600.0,0.5,1
32,5.807193399417158e-13,,,,,,,,,,,,,,,,,,,random_surface,1,0.02997922168915636,-0.0020629327010404097,0.0,-0.0020629327010404097,0.2,0,0,13,0.0034369647631421786,0.17025016833110954,44339327713393.03,64,64,0,0.35,2600.0,0.5,1
33,6.073483671541644e-13,,,,,,,,,,,,,,,,,,,growth_front,1,0.0603025387606499,-0.05525264168666766,0.0,-0.05525264168666766,0.2,0,0,13,0.006079362777834309,0.5679913004390681,46251646092443.39,64,64,0,0.35,2600.0,0.5,1
34,6.141116796501137e-13,,,,,,,,,,,,,,,,,,,surface,1,-0.10193526865394345,-0.05953484024962208,0.0,-0.05953484024962208,0.2,0,1,12,0.002722870041428044,0.9202604076046308,51569263166431.055,64,64,0,0.35,2600.0,0.5,1
