central_is_pu,displacement_length,displacement_x,displacement_y,displacement_z,radius_before,radius_after,radial_displacement,local_energy_before,local_energy_after,local_energy_delta,force_before_x,force_before_y,force_before_z,force_before_norm,force_after_x,force_after_y,force_after_z,force_after_norm,force_projection_before,pu_count_before_r_2.0,pu_count_before_r_3.0,pu_count_before_r_4.0,pu_count_before_r_5.0,pu_count_before_r_6.0,o_count_before_r_2.0,o_count_before_r_3.0,o_count_before_r_4.0,o_count_before_r_5.0,o_count_before_r_6.0,pu_count_after_r_2.0,pu_count_after_r_3.0,pu_count_after_r_4.0,pu_count_after_r_5.0,pu_count_after_r_6.0,o_count_after_r_2.0,o_count_after_r_3.0,o_count_after_r_4.0,o_count_after_r_5.0,o_count_after_r_6.0,nearest_any_before_1,nearest_any_before_2,nearest_any_before_3,nearest_any_before_4,nearest_any_before_5,nearest_any_before_6,nearest_any_before_7,nearest_any_before_8,nearest_any_before_9,nearest_any_before_10,nearest_any_before_11,nearest_any_before_12,nearest_any_before_13,nearest_any_before_14,nearest_any_before_15,nearest_any_before_16,nearest_pu_before_1,nearest_pu_before_2,nearest_pu_before_3,nearest_pu_before_4,nearest_pu_before_5,nearest_pu_before_6,nearest_pu_before_7,nearest_pu_before_8,nearest_pu_before_9,nearest_pu_before_10,nearest_pu_before_11,nearest_pu_before_12,nearest_pu_before_13,nearest_pu_before_14,nearest_pu_before_15,nearest_pu_before_16,nearest_o_before_1,nearest_o_before_2,nearest_o_before_3,nearest_o_before_4,nearest_o_before_5,nearest_o_before_6,nearest_o_before_7,nearest_o_before_8,nearest_o_before_9,nearest_o_before_10,nearest_o_before_11,nearest_o_before_12,nearest_o_before_13,nearest_o_before_14,nearest_o_before_15,nearest_o_before_16,nearest_any_after_1,nearest_any_after_2,nearest_any_after_3,nearest_any_after_4,nearest_any_after_5,nearest_any_after_6,nearest_any_after_7,nearest_any_after_8,nearest_any_after_9,nearest_any_after_10,nearest_any_after_11,nearest_any_after_12,nearest_any_after_13,nearest_any_after_14,nearest_any_after_15,nearest_any_after_16,nearest_pu_after_1,nearest_pu_after_2,nearest_pu_after_3,nearest_pu_after_4,nearest_pu_after_5,nearest_pu_after_6,nearest_pu_after_7,nearest_pu_after_8,nearest_pu_after_9,nearest_pu_after_10,nearest_pu_after_11,nearest_pu_after_12,nearest_pu_after_13,nearest_pu_after_14,nearest_pu_after_15,nearest_pu_after_16,nearest_o_after_1,nearest_o_after_2,nearest_o_after_3,nearest_o_after_4,nearest_o_after_5,nearest_o_after_6,nearest_o_after_7,nearest_o_after_8,nearest_o_after_9,nearest_o_after_10,nearest_o_after_11,nearest_o_after_12,nearest_o_after_13,nearest_o_after_14,nearest_o_after_15,nearest_o_after_16,coord_deviation_before,coord_deviation_after,coord_deviation_delta,delta_E,delta_fluorite_order,delta_bulk_order,delta_coordination_error,is_energy_lowering,is_crystallizing_event,atom_type,event_kind,uncertainty,good_event_probability,step
1.0,0.14677938795567785,-0.01720704629308034,0.11836789681872034,-0.08507142463379787,3.4290305975938042,3.374447891947437,-0.05728972683567819,-79.06898224265197,-60.50618274685048,18.562799495801492,-5.131957906236085,-5.378169381948894,-1.3660568597679696,7.5582940665490606,-3.7733094123649717,-4.621248579429118,1.5018941936338308,6.152193797596817,-2.943767268934411,0.0,0.0,6.0,9.0,16.0,0.0,4.0,9.0,22.0,38.0,2.2736507804645774,2.642593113967066,2.6867397368897246,2.767282751011132,3.0745881173703595,3.400056521842573,3.6482608781258596,3.7498594073671,3.7828667882792613,3.799854057216453,3.83983638588007,3.846250400223782,3.8978369198428493,3.9445714354206363,3.9871267174769165,4.081583740757583,3.0745881173703595,3.400056521842573,3.7828667882792613,3.83983638588007,3.846250400223782,3.9871267174769165,4.273790944772141,4.70006945991698,4.703061894492449,5.22166726613146,5.318544277498625,5.7594753042291105,5.8028547337721355,5.8070694710491875,5.830329121063803,5.873337960426675,2.2736507804645774,2.642593113967066,2.6867397368897246,2.767282751011132,3.6482608781258596,3.7498594073671,3.799854057216453,3.8978369198428493,3.9445714354206363,4.081583740757583,4.21976889186011,4.286232710249168,4.40992644623217,4.61768503472455,4.726975947902164,4.734820192431456,0.0,0.0,6.0,9.0,17.0,0.0,4.0,9.0,22.0,38.0,2.3013889448175613,2.621151088676771,2.6609037838573912,2.6641642546172206,3.083067370902534,3.365088113769246,3.69042121856716,3.7092662061290875,3.749923931970028,3.7907381609296937,3.8122117779462354,3.8678697078743127,3.8959950406274935,3.8997282932733963,3.9263663645002462,4.097614055542437,3.083067370902534,3.365088113769246,3.7092662061290875,3.749923931970028,3.8678697078743127,3.8997282932733963,4.246066207242958,4.7240135054228185,4.770717197393327,5.36125655965275,5.441403237852736,5.718745493546809,5.748576391975412,5.75955907619921,5.819142255019462,5.862263005982832,2.3013889448175613,2.621151088676771,2.6609037838573912,2.6641642546172206,3.69042121856716,3.7907381609296937,3.8122117779462354,3.8959950406274935,3.9263663645002462,4.097614055542437,4.127162695001687,4.32727369376141,4.375505365532666,4.486572362345733,4.636417054849117,4.706606959927169,4.0,4.0,0.0,2.5843250187891353,0.0,,,0,0,Pu,local_cluster_affine,0.0330081892578134,0.040926367423461035,553
0.0,0.13019647937931397,-0.00487885847455205,0.08159333760316434,-0.10134025479309527,2.390062946466302,2.30664729341346,-0.0855061737404477,-24.153851175057227,-28.968184541208903,-4.814333366151676,-2.1634806555178296,2.129616423955159,-2.133943787631952,3.710745309065609,-2.0695726776611827,0.6782065404224455,-0.7585346747854753,2.30618083255528,3.0766748597053724,0.0,3.0,5.0,13.0,18.0,0.0,3.0,10.0,19.0,34.0,2.0992679418369127,2.3140900989667985,2.407525246049676,2.6720225283846313,2.7605760957247965,2.871507267453278,3.028664337612183,3.2182874251267215,3.2671970546650084,3.443199324541569,3.480233323883146,3.538805233614464,3.5402261004149964,3.6972196943974858,3.9791120817444647,4.056089392109489,2.0992679418369127,2.407525246049676,2.7605760957247965,3.480233323883146,3.6972196943974858,4.056089392109489,4.338003799999018,4.41886276844688,4.641071365128638,4.677938195753108,4.696053543548544,4.861258447166011,4.894930826947941,5.028085422423306,5.347184410661396,5.557571069666009,2.3140900989667985,2.6720225283846313,2.871507267453278,3.028664337612183,3.2182874251267215,3.2671970546650084,3.443199324541569,3.538805233614464,3.5402261004149964,3.9791120817444647,4.093120807658114,4.181149241915446,4.33325546714087,4.3631290019530855,4.400000514283907,4.497219907118468,0.0,3.0,5.0,14.0,18.0,0.0,3.0,11.0,19.0,33.0,2.2175782327039637,2.3559778622635688,2.388852103559877,2.716808867827177,2.766838603471051,2.791102173025808,3.0790500659061464,3.107470645798905,3.2254168600716735,3.3791400915653087,3.5568144845320186,3.562840750884343,3.571504282452653,3.7956465760657117,3.8860402758944748,3.963763130913778,2.2175782327039637,2.3559778622635688,2.716808867827177,3.3791400915653087,3.7956465760657117,4.077016016394142,4.329956066284372,4.457957852772504,4.525863527598769,4.595764710351229,4.793838240439471,4.891803449853804,4.929633262323283,4.939164798970861,5.280719387235302,5.570800344799646,2.388852103559877,2.766838603471051,2.791102173025808,3.0790500659061464,3.107470645798905,3.2254168600716735,3.5568144845320186,3.562840750884343,3.571504282452653,3.8860402758944748,3.963763130913778,4.161567107999719,4.300297278974234,4.318112021172529,4.397008077523771,4.450799440878184,1.0,1.0,0.0,2.2619946729329072,-0.0010547899292207008,,,0,0,O,local_cluster_affine,0.007351531644560844,0.9056578038096377,1264
0.0,0.13979700603583958,0.04118860587757012,0.12802942102898585,-0.03814667735766042,2.220198153946851,2.1619405172875323,-0.061894530654286704,-20.559385507960922,-29.69122795135516,-9.131842443394238,-2.9165916175455022,2.014993578295641,-3.1182573975230476,4.721253539190262,-3.545017562969765,-0.22119367757783637,-2.3993761507955678,4.286383333040928,1.8369440427145003,0.0,3.0,6.0,12.0,18.0,0.0,2.0,10.0,20.0,35.0,2.0914921096006234,2.229492919882766,2.4493665216583556,2.959895541475864,2.9819484725141803,3.016133054872393,3.0823781614905705,3.158932361033817,3.1745266185945766,3.263397702996853,3.354425359461395,3.401263813569929,3.754073771622642,3.7557105024584962,3.873459569632769,3.961487480247623,2.0914921096006234,2.229492919882766,2.959895541475864,3.401263813569929,3.754073771622642,3.7557105024584962,4.2955590543866675,4.395923558685241,4.542104170065737,4.673237256922346,4.740432422474822,4.936113465583513,5.1883364376237955,5.320745763237111,5.444812500157588,5.637611496125499,2.4493665216583556,2.9819484725141803,3.016133054872393,3.0823781614905705,3.158932361033817,3.1745266185945766,3.263397702996853,3.354425359461395,3.873459569632769,3.961487480247623,4.014897710577109,4.033953918566502,4.131535442689202,4.440982586639756,4.470982738634304,4.5342587696680186,0.0,3.0,6.0,12.0,18.0,0.0,2.0,12.0,19.0,33.0,2.1632875059860934,2.2284353183137937,2.5792754441475,2.910284329324265,2.9810239232602007,3.052215001831807,3.0821559960255125,3.119419141059863,3.1968084796991714,3.3093928055352513,3.4750899940893767,3.521041825182463,3.6301664867495123,3.7431766317795354,3.823525901879074,3.9230576618436315,2.1632875059860934,2.2284353183137937,2.9810239232602007,3.521041825182463,3.6301664867495123,3.7431766317795354,4.199888761073001,4.428031940881332,4.5103540103991175,4.596736277192586,4.863204261291354,4.9338501526463725,5.134696643887348,5.322128748452527,5.460878650657809,5.658052150154918,2.5792754441475,2.910284329324265,3.052215001831807,3.0821559960255125,3.119419141059863,3.1968084796991714,3.3093928055352513,3.4750899940893767,3.823525901879074,3.9230576618436315,3.9595263775060565,3.9713320167374424,4.128929275817836,4.3312520862942785,4.489081620500763,4.52621222885589,1.0,1.0,0.0,1.9013903120917863,0.0035460992907800915,,,0,0,O,local_cluster_affine,0.01611447157313959,0.757267371948349,2909
