step,accepted,energy,close_contact_penalty,objective
0.0,1.0,-6530.664799662423,0.2754670900836171,-5153.329349244338
1.0,1.0,-6531.046491138675,0.253087057911038,-5265.611201583485
2.0,0.0,-6531.046491138675,0.253087057911038,-5265.611201583485
3.0,0.0,-6531.046491138675,0.253087057911038,-5265.611201583485
4.0,1.0,-6531.0155799814875,0.24573513308640343,-5302.33991454947
5.0,0.0,-6531.0155799814875,0.24573513308640343,-5302.33991454947
6.0,0.0,-6531.0155799814875,0.24573513308640343,-5302.33991454947
7.0,1.0,-6531.444095697147,0.22427476648425704,-5410.070263275861
8.0,1.0,-6531.748767899626,0.20604357942354862,-5501.530870781882
9.0,1.0,-6531.543801434389,0.20479758062951192,-5507.55589828683
10.0,1.0,-6531.68175047646,0.19796614212134556,-5541.851039869733
11.0,1.0,-6531.882131507793,0.19163768996654373,-5573.693681675074
12.0,1.0,-6532.178037607335,0.18195664129220374,-5622.394831146316
13.0,1.0,-6532.222843279049,0.17499774647214295,-5657.234110918334
14.0,1.0,-6532.513276796681,0.16184803635762307,-5723.273095008565
15.0,1.0,-6532.649716983791,0.1573897498195735,-5745.700967885924
16.0,1.0,-6532.97014363193,0.14558210523249096,-5805.059617469476
17.0,1.0,-6533.121702628372,0.13859646411256607,-5840.139382065542
18.0,1.0,-6533.277994946366,0.1336369274870696,-5865.0933575110175
19.0,1.0,-6533.684247859839,0.12146830343594558,-5926.342730680111
20.0,1.0,-6534.000641663837,0.11269427567063696,-5970.529263310652
21.0,1.0,-6533.964451019656,0.10528944462712213,-6007.5172278840455
22.0,0.0,-6533.964451019656,0.10528944462712213,-6007.5172278840455
23.0,1.0,-6533.79274206937,0.10451460629967638,-6011.219710570988
24.0,1.0,-6534.096847926146,0.09101128016072893,-6079.040447122502
25.0,1.0,-6534.132159525156,0.09094412585123589,-6079.411530268976
26.0,1.0,-6534.306079776581,0.08418682479216069,-6113.371955815777
27.0,1.0,-6534.429086437909,0.07915502545858509,-6138.653959144984
28.0,1.0,-6534.5772207127375,0.07601453235367653,-6154.504558944354
29.0,1.0,-6534.655593602911,0.06978706528098332,-6185.720267197994
30.0,1.0,-6534.800376903568,0.06407742070464581,-6214.413273380339
31.0,1.0,-6535.061772448518,0.05809236403045299,-6244.599952296253
32.0,1.0,-6535.300584719209,0.05303978470827261,-6270.101661177846
33.0,1.0,-6535.441705025307,0.04772048227368968,-6296.839293656859
34.0,1.0,-6535.543586162952,0.04304085030412517,-6320.339334642326
35.0,1.0,-6535.641692052141,0.039000422870345726,-6340.639577700412
36.0,1.0,-6535.718318816282,0.03709008901671291,-6350.267873732717
37.0,1.0,-6535.820714918693,0.03529538399189707,-6359.343794959207
38.0,1.0,-6535.989732350568,0.03272049841456047,-6372.387240277766
39.0,1.0,-6536.311099911742,0.030077141863205897,-6385.925390595712
40.0,1.0,-6536.451633489312,0.0277030253685786,-6397.93650664642
41.0,1.0,-6536.647939037948,0.025331102464840757,-6409.992426713744
42.0,1.0,-6536.753495776249,0.02325424607883483,-6420.482265382075
43.0,1.0,-6536.866796885744,0.02149757639659798,-6429.378914902754
44.0,1.0,-6536.922871838351,0.02006289434710107,-6436.608400102846
