step,kmc_time,total_energy,energy_per_atom,energy_per_puo2,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,accepted_event_kind,event_applied,predicted_delta_E,exact_delta_E_if_checked,used_exact_rate,exact_checked_candidates,uncertainty,good_event_probability,total_rate,candidate_events_requested,candidate_events_generated,candidate_events_rejected,current_max_displacement
30,2.891231350048463e-13,,,,,,,,,,,,,,,,,relaxation,1,-0.08844098769388617,,0,12,0.09162277654987261,0.45238850072374476,103427259020879.69,64,64,0,0.35
31,3.090607099308208e-13,,,,,,,,,,,,,,,,,random_surface,1,0.03405250677640194,,0,12,0.024415320650391755,0.3000460553398444,87672102845892.0,64,64,0,0.35
32,3.134402591014888e-13,,,,,,,,,,,,,,,,,relaxation,1,0.22651879359564572,,0,11,0.05189436774104347,0.2664976900268614,98219667290565.08,64,64,0,0.35
33,3.1372221890421387e-13,,,,,,,,,,,,,,,,,relaxation,1,-0.08994777265550923,,0,12,0.04632406671369363,0.47479715763253355,90358363926534.42,64,64,0,0.35
34,3.2869333646840444e-13,,,,,,,,,,,,,,,,,relaxation,1,-0.06935565382124445,-0.23571458702839365,1,11,0.022864675201676017,0.7248620578619527,97848010137711.53,64,64,0,0.35
35,3.337362605244427e-13,,,,,,,,,,,,,,,,,random_bulk,1,-0.05325128020303969,,0,12,0.027516223962787984,0.6406843860258913,110499226472346.61,64,64,0,0.35
36,3.3625556688859935e-13,,,,,,,,,,,,,,,,,coordination,1,-0.19793527246290796,,0,9,0.1170709816429618,0.4221246324504933,95886445138343.22,64,64,0,0.35
37,3.4574448757098487e-13,,,,,,,,,,,,,,,,,surface_compression,1,0.04776682649384464,,0,11,0.019653732568187327,0.2791691957458947,91561449728902.23,64,64,0,0.35
38,3.720853985724309e-13,,,,,,,,,,,,,,,,,random_bulk,1,-0.17986698299336082,,0,12,0.06525571011167361,0.6319031501202196,103404078758864.84,64,64,0,0.35
39,3.7664447099675053e-13,,,,,,,,,,,,,,,,,random_bulk,1,0.08353482759173146,,0,10,0.03808097127375787,0.3904642883961533,97133382420157.42,64,64,0,0.35
40,3.7768113112540765e-13,,,,,,,,,,,,,,,,,relaxation,1,-0.1035026970243621,,0,9,0.04865588221844539,0.5454131846026081,106881387744587.34,64,64,0,0.35
41,4.120844393576926e-13,,,,,,,,,,,,,,,,,relaxation,1,-0.05541319179532882,-0.5349388907952033,1,10,0.04796112450794335,0.6508650694564333,91011849616662.22,64,64,0,0.35
42,4.1480463775495824e-13,,,,,,,,,,,,,,,,,surface_compression,1,-0.03503120844206163,,0,10,0.056750264438899745,0.3463492247594205,93380351652986.4,64,64,0,0.35
43,4.25106003569434e-13,,,,,,,,,,,,,,,,,relaxation,1,0.000526573711541505,,0,10,0.06311557444972739,0.2346080318455132,95479602188270.78,64,64,0,0.35
44,4.2841202395204885e-13,,,,,,,,,,,,,,,,,random_bulk,1,0.07830012731877105,,0,10,0.07392541187232747,0.3342730388349284,89784571533700.81,64,64,0,0.35
45,4.2946026752406686e-13,,,,,,,,,,,,,,,,,relaxation,1,-0.37896399955422455,-0.256294242560557,1,11,0.14683476281073699,0.5243292952321286,106501196474799.3,64,64,0,0.35
46,4.3625103138469203e-13,,,,,,,,,,,,,,,,,relaxation,1,-0.0729902253619147,,0,12,0.057025704706781415,0.5415932443339753,91581494611496.55,64,64,0,0.35
47,4.398479429170502e-13,,,,,,,,,,,,,,,,,coordination,1,0.03660146898705738,,0,11,0.023544797947902336,0.5680199162733227,108769780056279.53,64,64,0,0.35
48,4.571727743277989e-13,,,,,,,,,,,,,,,,,relaxation,1,-0.13264583268784041,,0,10,0.05879804620184535,0.28268263319996545,92932014386947.45,64,64,0,0.35
49,4.571801218245193e-13,-6542.589260789917,-15.57759347807123,-46.732780434213694,133.0,223.0,356.0,271.0,85.0,1.5333333333333334,0.5261904761904762,0.6437125748502994,0.7119047619047619,2.729744426318651,1.9016441783267444,2.0123080413809733,3.0812958095690863,surface_compression,1,-0.18007393181558462,-0.19663452491189304,0,12,0.0620517243784051,0.38825660096061637,97570524458467.44,64,64,0,0.35
50,4.580609497633215e-13,,,,,,,,,,,,,,,,,coordination,1,-0.10265907802216277,,0,10,0.03935745807740812,0.5618517205553925,105653378501310.5,64,64,0,0.35
51,4.622120553134742e-13,,,,,,,,,,,,,,,,,coordination,1,0.17873427587196658,,0,12,0.04256789944763199,0.185850889270285,89947878381311.28,64,64,0,0.35
52,4.6817943126505e-13,,,,,,,,,,,,,,,,,relaxation,1,0.11816879090284306,,0,11,0.04080924197578677,0.2782024033222444,93946767611832.19,64,64,0,0.35
53,4.798823340288894e-13,,,,,,,,,,,,,,,,,surface_compression,1,-0.10544711235281416,,0,12,0.047782506824561886,0.6081364456563562,102050946784816.28,64,64,0,0.35
54,5.309143229662375e-13,,,,,,,,,,,,,,,,,coordination,1,0.16696291771672836,,0,11,0.05086264074899727,0.44009316096506984,96953438387657.53,64,64,0,0.35
55,5.45669380028732e-13,,,,,,,,,,,,,,,,,coordination,1,0.12464916181123674,,0,10,0.03214969946521785,0.39317451952317445,100611117045134.66,64,64,0,0.35
56,5.468081785753099e-13,,,,,,,,,,,,,,,,,relaxation,1,-0.07126288802178189,,0,12,0.033312525159760784,0.46653276493381024,96642423780674.6,64,64,0,0.35
57,5.488196782177166e-13,,,,,,,,,,,,,,,,,surface_compression,1,-0.1597482238147343,-0.044471299004285925,1,12,0.0838409393188628,0.694773126764107,98169285026690.38,64,64,0,0.35
58,5.565403975995085e-13,,,,,,,,,,,,,,,,,random_surface,1,-0.04794453034632202,-0.11321760021698424,1,10,0.04437584991638272,0.7147197167933147,96127247821225.28,64,64,0,0.35
59,5.572888824828124e-13,,,,,,,,,,,,,,,,,coordination,1,-0.09103150988930982,-0.006447898011284536,1,11,0.03678735589387024,0.6170269923709546,101951862735580.0,64,64,0,0.35
60,5.648884735464633e-13,,,,,,,,,,,,,,,,,coordination,1,-0.06679320089700498,,0,12,0.02767443513542378,0.5800678603358816,99377460327093.5,64,64,0,0.35
61,5.649039361946395e-13,,,,,,,,,,,,,,,,,random_bulk,1,0.10025435500865479,,0,12,0.0453007273565554,0.33808951550723604,103610272121286.11,64,64,0,0.35
62,5.652805088033814e-13,,,,,,,,,,,,,,,,,random_surface,1,0.124471607393017,,0,11,0.04079080385506274,0.488181892830863,93950080168097.22,64,64,0,0.35
63,5.844348967353156e-13,,,,,,,,,,,,,,,,,relaxation,1,-0.17163177765107585,,0,11,0.05082194836019941,0.45626543454654084,92586737245962.19,64,64,0,0.35
