step,accepted,energy,close_contact_penalty,objective
0.0,1.0,-6530.457233960802,0.28494771869310115,-5105.718640495296
1.0,1.0,-6530.865480180311,0.26036257459389617,-5229.0526072108305
2.0,1.0,-6530.80434262332,0.25665972487237626,-5247.505718261438
3.0,1.0,-6531.120871708736,0.24056056983051455,-5328.318022556163
4.0,0.0,-6531.120871708736,0.24056056983051455,-5328.318022556163
5.0,0.0,-6531.120871708736,0.24056056983051455,-5328.318022556163
6.0,1.0,-6531.170463468614,0.23746260483306092,-5343.85743930331
7.0,0.0,-6531.170463468614,0.23746260483306092,-5343.85743930331
8.0,1.0,-6531.180518888155,0.23537201247447792,-5354.320456515766
9.0,0.0,-6531.180518888155,0.23537201247447792,-5354.320456515766
10.0,1.0,-6531.411419233536,0.21103123751294828,-5476.255231668795
11.0,1.0,-6531.488070136145,0.19641779283531735,-5549.399105959558
12.0,1.0,-6531.843885116417,0.17742893515305125,-5644.699209351161
13.0,1.0,-6531.893960976049,0.17226695568935863,-5670.559182529256
14.0,0.0,-6531.893960976049,0.17226695568935863,-5670.559182529256
15.0,1.0,-6532.0158049329475,0.16210056484551116,-5721.512980705392
16.0,1.0,-6532.11147432916,0.15901052748666256,-5737.058836895847
17.0,1.0,-6532.249329096887,0.15462372319459516,-5759.130713123911
18.0,1.0,-6532.511551331556,0.14471695365804435,-5808.926783041334
19.0,1.0,-6532.567263535968,0.13380399948207802,-5863.547266125578
20.0,1.0,-6532.617709674405,0.12884804105173361,-5888.377504415737
21.0,1.0,-6532.964455696801,0.11855852047873576,-5940.171853303123
22.0,1.0,-6533.102561507689,0.11246458120401462,-5970.779655487616
23.0,1.0,-6533.378014827869,0.1048595331490266,-6009.080349082737
24.0,1.0,-6533.518489995164,0.09827856711310311,-6042.125654429648
25.0,1.0,-6533.632150913012,0.09127319372696442,-6077.26618227819
26.0,1.0,-6533.63745090195,0.08986050733185441,-6084.334914242678
27.0,1.0,-6533.646847745626,0.08305102404207507,-6118.3917275352505
28.0,1.0,-6533.683144312556,0.08224459158738455,-6122.4601863756325
29.0,1.0,-6533.857702158169,0.07748347079305068,-6146.440348192915
30.0,1.0,-6533.972630515188,0.0717534231366238,-6175.205514832069
31.0,1.0,-6534.149798136496,0.06567707754388769,-6205.764410417058
32.0,1.0,-6534.368056187089,0.060048178535467386,-6234.127163509752
33.0,1.0,-6534.346733584883,0.05749008697169985,-6246.896298726383
34.0,1.0,-6534.315333775813,0.055987347668916033,-6254.3785954312325
35.0,1.0,-6534.354973447046,0.05066313481247039,-6281.0392993846945
36.0,1.0,-6534.477252812833,0.04576573527606238,-6305.648576432522
37.0,1.0,-6534.480102769854,0.04284838515370142,-6320.238177001347
38.0,1.0,-6534.644335359244,0.03973956015510007,-6335.946534583743
39.0,1.0,-6534.609833519993,0.038609556758336584,-6341.56204972831
40.0,0.0,-6534.609833519993,0.038609556758336584,-6341.56204972831
41.0,1.0,-6534.741415156592,0.03592028493703906,-6355.139990471396
42.0,1.0,-6534.756372121647,0.03477558971528555,-6360.8784235452185
43.0,1.0,-6534.957771328956,0.03186682782598161,-6375.623632199048
44.0,1.0,-6535.185707606757,0.029175194509954122,-6389.309735056987
45.0,1.0,-6535.395514465139,0.026735559845543738,-6401.717715237421
46.0,1.0,-6535.481914103175,0.025270306751775842,-6409.130380344295
47.0,1.0,-6535.696175770091,0.022807332381700515,-6421.6595138615885
48.0,1.0,-6535.818378795372,0.021041477905522053,-6430.610989267762
49.0,1.0,-6535.870274480189,0.019811179728344588,-6436.814375838467
50.0,1.0,-6536.13775822976,0.018287839331862687,-6444.698561570447
51.0,1.0,-6536.2252434275915,0.016840211261227537,-6452.024187121454
52.0,0.0,-6536.2252434275915,0.016840211261227537,-6452.024187121454
53.0,1.0,-6536.243076631864,0.016204313080854096,-6455.2215112275935
54.0,1.0,-6536.327347936313,0.014964303671195263,-6461.505829580337
55.0,1.0,-6536.313906708251,0.014307949581985889,-6464.774158798322
56.0,0.0,-6536.313906708251,0.014307949581985889,-6464.774158798322
57.0,0.0,-6536.313906708251,0.014307949581985889,-6464.774158798322
58.0,1.0,-6536.390826029882,0.013362473368084838,-6469.578459189458
59.0,1.0,-6536.591436632859,0.012413964818455551,-6474.521612540581
60.0,1.0,-6536.731456880042,0.011583219951398362,-6478.8153571230505
61.0,0.0,-6536.731456880042,0.011583219951398362,-6478.8153571230505
62.0,0.0,-6536.731456880042,0.011583219951398362,-6478.8153571230505
63.0,0.0,-6536.731456880042,0.011583219951398362,-6478.8153571230505
64.0,1.0,-6536.768606241344,0.010777402694998564,-6482.881592766351
65.0,1.0,-6536.918923177264,0.009981205856322374,-6487.012893895652
66.0,1.0,-6536.932673968563,0.009283296835948822,-6490.516189788819
67.0,0.0,-6536.932673968563,0.009283296835948822,-6490.516189788819
68.0,0.0,-6536.932673968563,0.009283296835948822,-6490.516189788819
69.0,0.0,-6536.932673968563,0.009283296835948822,-6490.516189788819
70.0,0.0,-6536.932673968563,0.009283296835948822,-6490.516189788819
71.0,0.0,-6536.932673968563,0.009283296835948822,-6490.516189788819
72.0,0.0,-6536.932673968563,0.009283296835948822,-6490.516189788819
73.0,0.0,-6536.932673968563,0.009283296835948822,-6490.516189788819
74.0,1.0,-6536.962882147926,0.008932528199772161,-6492.300241149065
75.0,1.0,-6537.139850839169,0.0081916100707738,-6496.1818004853
76.0,1.0,-6537.408493744414,0.006857933811270752,-6503.11882468806
77.0,1.0,-6537.506072562711,0.0061642800658465394,-6506.6846722334785
78.0,1.0,-6537.572904323814,0.005479487453328427,-6510.175467057172
79.0,0.0,-6537.572904323814,0.005479487453328427,-6510.175467057172
80.0,0.0,-6537.572904323814,0.005479487453328427,-6510.175467057172
81.0,1.0,-6537.675715148472,0.0048526827954220786,-6513.412301171361
82.0,0.0,-6537.675715148472,0.0048526827954220786,-6513.412301171361
83.0,1.0,-6537.8348496597,0.004230718059957947,-6516.681259359911
84.0,1.0,-6537.939453194728,0.0036778864427004345,-6519.550020981226
85.0,1.0,-6538.063829278762,0.0033165271445248015,-6521.481193556137
86.0,1.0,-6538.148851046186,0.00307446264033054,-6522.776537844533
87.0,1.0,-6538.235455347041,0.0026440935792778645,-6525.014987450652
88.0,0.0,-6538.235455347041,0.0026440935792778645,-6525.014987450652
89.0,1.0,-6538.242438613917,0.0023999382115970362,-6526.2427475559325
90.0,1.0,-6538.4800253597605,0.00199410810016537,-6528.509484858933
91.0,1.0,-6538.62376461122,0.0017673540354829446,-6529.786994433805
92.0,1.0,-6538.663921121946,0.0015520785091425078,-6530.903528576234
93.0,1.0,-6538.9700866027015,0.0013483566221983057,-6532.22830349171
94.0,1.0,-6539.031057437045,0.0011451303944654972,-6533.305405464717
95.0,1.0,-6539.077193412893,0.0009855740535756562,-6534.149323145015
96.0,1.0,-6539.2442285739235,0.0008327724136902926,-6535.080366505472
97.0,1.0,-6539.392457574106,0.0006828051317512543,-6535.97843191535
98.0,1.0,-6539.543069084317,0.0005419068885501006,-6536.833534641566
99.0,1.0,-6539.747495871652,0.0004100999781104344,-6537.6969959810995
100.0,1.0,-6539.882759205251,0.0002896989793870056,-6538.434264308316
101.0,1.0,-6539.938218704918,0.00016991928408389994,-6539.088622284498
102.0,0.0,-6539.938218704918,0.00016991928408389994,-6539.088622284498
103.0,1.0,-6539.800406741084,8.810013018706157e-05,-6539.359906090149
104.0,1.0,-6539.809177598305,2.809389839124369e-05,-6539.668708106348
105.0,1.0,-6540.003608980192,1.099352075931543e-05,-6539.948641376396
106.0,1.0,-6540.130871993444,5.1404303433530344e-06,-6540.105169841728
107.0,1.0,-6540.265224362838,1.6240079451187186e-06,-6540.257104323113
108.0,1.0,-6540.318664740715,6.011675681305616e-09,-6540.318634682336
109.0,1.0,-6540.483603028562,0.0,-6540.483603028562
