step,kmc_time,total_energy,energy_per_atom,energy_per_puo2,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,crystalline_core_size,growth_front_size,accepted_event_kind,event_applied,predicted_delta_E,exact_delta_E_if_checked,exact_delta_order_if_checked,order_biased_score_if_checked,max_exact_delta_e_above,reject_for_close_contact,used_exact_rate,exact_checked_candidates,uncertainty,good_event_probability,total_rate,candidate_events_requested,candidate_events_generated,candidate_events_rejected,current_max_displacement,temperature,order_bias_lambda,n_jobs,stage
0,9.921111418681548e-16,-6506.611364459322,-15.491931820141243,-46.47579546042373,135.0,217.0,352.0,266.0,86.0,1.542857142857143,0.5142857142857142,0.6295180722891566,0.7107142857142857,2.8245518739815316,1.900119692188112,2.034041367232486,2.9264998734525274,242.0,170.0,coordination,1,-0.08029433262298707,0.02835358970005153,0.0,0.02835358970005153,0.2,0,0,13,0.006522194502150511,0.9054662779630197,97292609842022.16,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
1,2.7065655904924694e-15,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.05540448617363648,-0.07113473477877363,0.0,-0.07113473477877363,0.2,0,0,13,0.004447602103051972,0.8727856833354561,116390383211341.11,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
2,1.2380726329813971e-14,,,,,,,,,,,,,,,,,,,surface,1,-0.024357921162589797,-0.028550743733052997,0.0,-0.028550743733052997,0.2,0,0,13,0.003912600768113478,0.9018480442159083,105191111251209.56,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
3,2.1155079110397298e-14,,,,,,,,,,,,,,,,,,,growth_front,1,-0.002348032175542048,0.13448995773732975,0.0,0.13448995773732975,0.2,0,0,13,0.013457095546978841,0.6486731517378134,103055508536061.34,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
4,2.348141289402772e-14,,,,,,,,,,,,,,,,,,,rejected_snap_to_fluorite_site,0,0.01953243626295127,0.26113972092574755,0.0,0.26113972092574755,0.2,0,0,13,0.015966489846228584,0.23320789047376403,96955663884530.11,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
5,2.3705111966579776e-14,,,,,,,,,,,,,,,,,,,coordination,1,-0.09985379948075379,-0.09447027671740216,0.0,-0.09447027671740216,0.2,0,1,12,0.005313064005772805,0.982414870455344,101380439280093.38,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
6,3.0088556913252225e-14,,,,,,,,,,,,,,,,,,,surface_compression,1,0.021222133332056185,-0.004204552575941989,0.0,-0.004204552575941989,0.2,0,0,13,0.00899135413615613,0.6053453973342378,104846608926293.94,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
7,4.3983056246624473e-14,,,,,,,,,,,,,,,,,,,coordination,1,0.06292130129125487,0.00729986647719727,0.0,0.00729986647719727,0.2,0,0,13,0.0007194899161863041,0.32501140029789816,112532255497358.34,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
8,9.003119944648531e-14,,,,,,,,,,,,,,,,,,,surface,1,-0.023870327820352918,0.03063925581557214,0.0,0.03063925581557214,0.2,0,0,12,0.011801653659556545,0.8534731316059104,92009228482811.9,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
9,9.535691668689447e-14,,,,,,,,,,,,,,,,,,,growth_front,1,0.21642375647062273,0.1778360060921571,0.0,0.1778360060921571,0.2,0,1,12,0.027707429967199423,0.052290407150528115,100892972615916.4,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
