step,kmc_time,total_energy,energy_per_atom,energy_per_puo2,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,crystalline_core_size,growth_front_size,accepted_event_kind,event_applied,predicted_delta_E,exact_delta_E_if_checked,exact_delta_order_if_checked,order_biased_score_if_checked,max_exact_delta_e_above,reject_for_close_contact,used_exact_rate,exact_checked_candidates,uncertainty,good_event_probability,total_rate,candidate_events_requested,candidate_events_generated,candidate_events_rejected,current_max_displacement,temperature,order_bias_lambda
0,1.2069029477313151e-14,-6530.1918336942,-15.54807579451,-46.64422738353,134.0,221.0,355.0,269.0,86.0,1.5333333333333334,0.5238095238095238,0.6426426426426426,0.712202380952381,2.722570106180234,1.660799255735021,1.9225992149766942,3.0886456733262557,250.0,163.0,rejected_coordination,0,0.062091096035344864,0.1022098466694672,0.0,0.1022098466694672,,1,0,13,0.0049144018746140605,0.7547618816932348,124786490370519.66,64,64,0,0.35,3600.0,0.0
1,1.6452557320809367e-14,,,,,,,,,,,,,,,,,,,rejected_relaxation,0,-0.12787509199147773,,,,,1,0,10,0.0034554260375112486,0.7128426499261105,105254047443649.94,64,64,0,0.35,3600.0,0.0
2,2.14917269739785e-14,,,,,,,,,,,,,,,,,,,rejected_surface_compression,0,-0.0317364510207988,,,,,1,0,12,0.00838846056592153,0.39449360027852465,119021099718431.47,64,64,0,0.35,3600.0,0.0
3,2.2218433996876146e-14,,,,,,,,,,,,,,,,,,,rejected_random_bulk,0,-0.004334072366421241,,,,,1,0,12,0.004133716341282448,0.7537544186302492,107708877146895.77,64,64,0,0.35,3600.0,0.0
4,6.143577165869525e-14,,,,,,,,,,,,,,,,,,,rejected_surface_compression,0,-0.06466329899491159,-0.036274958647748434,0.0,-0.036274958647748434,,1,1,11,0.011066006077400204,0.9734992573496105,2717888385230.07,64,64,0,0.35,3600.0,0.0
5,7.039356812204738e-14,,,,,,,,,,,,,,,,,,,rejected_coordination,0,-0.17345126903321856,,,,,1,0,12,0.0029793102869961757,0.9580542367235196,110182961655516.19,64,64,0,0.35,3600.0,0.0
6,8.030008132266043e-14,,,,,,,,,,,,,,,,,,,rejected_relaxation,0,-0.09613323287221306,,,,,1,0,12,0.004240828976878323,0.8966669819036335,97485327203798.53,64,64,0,0.35,3600.0,0.0
7,2.791961420818412e-13,,,,,,,,,,,,,,,,,,,rejected_surface,0,-0.54324697768115,-0.6377588672311241,0.0,-0.6377588672311241,,1,1,11,0.0029362076961872985,0.9962424757567534,2749210175152.879,64,64,0,0.35,3600.0,0.0
8,2.9688555510134993e-13,,,,,,,,,,,,,,,,,,,rejected_coordination,0,-0.20355757029636887,,,,,1,0,12,0.010718477176030278,0.9241865988295886,102862545353755.44,64,64,0,0.35,3600.0,0.0
9,2.999425942922329e-13,,,,,,,,,,,,,,,,,,,rejected_coordination,0,0.05409964590491227,,,,,1,0,12,0.0039683348326781595,0.21969600344517498,107168894695497.89,64,64,0,0.35,3600.0,0.0
