step,kmc_time,total_energy,energy_per_atom,energy_per_puo2,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,crystalline_core_size,growth_front_size,accepted_event_kind,event_applied,predicted_delta_E,exact_delta_E_if_checked,exact_delta_order_if_checked,order_biased_score_if_checked,max_exact_delta_e_above,reject_for_close_contact,used_exact_rate,exact_checked_candidates,uncertainty,good_event_probability,total_rate,candidate_events_requested,candidate_events_generated,candidate_events_rejected,current_max_displacement,temperature,order_bias_lambda,n_jobs,stage
0,1.0651432210916176e-15,-6505.217770595164,-15.488613739512296,-46.46584121853689,136.0,219.0,355.0,268.0,87.0,1.542857142857143,0.5190476190476191,0.6374622356495468,0.7107142857142857,2.82570302947969,1.9009918970705793,2.021269335289979,2.9107621757321533,245.0,167.0,rejected_coordination,0,-0.004694500484450539,0.4964861293224061,0.0,0.4964861293224061,0.2,0,0,13,0.0025847582128125358,0.7211958785562704,100977861184192.6,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
1,1.7291977458751213e-15,,,,,,,,,,,,,,,,,,,surface,1,-0.10495730043621479,-0.04328740916042406,-0.0010985992859104954,-0.039991611302692576,0.2,0,1,12,0.003093853662902976,0.9872699068984047,97451133982175.84,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
2,2.5624115047903897e-15,,,,,,,,,,,,,,,,,,,coordination,1,-0.743835397195438,-0.9326117007656496,0.0010985992859104954,-0.9359074986233811,0.2,0,1,11,0.01888618761532701,0.9967461833022541,103680041399017.97,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
3,1.6744713693784508e-14,,,,,,,,,,,,,,,,,,,random_bulk,1,-0.04272318431828047,-0.04448864970177979,0.0,-0.04448864970177979,0.2,0,1,12,0.003089154335813884,0.9627285003083387,97639947822325.0,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
4,1.9615732021439435e-14,,,,,,,,,,,,,,,,,,,surface,1,-0.07479875110376183,0.1260707589798571,0.0,0.1260707589798571,0.2,0,0,13,0.008840735454712728,0.7034725071500382,109455698656341.67,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
5,2.7898325600435734e-14,,,,,,,,,,,,,,,,,,,growth_front,1,-0.03650536654129174,0.07408703107784831,-0.0010985992859104954,0.0773828289355798,0.2,0,0,13,0.003403327824669143,0.2225158269566016,99863862990606.08,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
6,2.947303157945599e-14,,,,,,,,,,,,,,,,,,,random_bulk,1,-0.014319951999738416,-0.023974729126482686,0.0010985992859104954,-0.027270526984214172,0.2,0,0,11,0.0016924102891458497,0.7018045596224669,104898252501936.84,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
7,4.525986742326148e-14,,,,,,,,,,,,,,,,,,,coordination,1,-0.011408139049617572,0.02701413000897901,0.0,0.02701413000897901,0.2,0,0,13,0.005900642660655611,0.6316525863956464,100791626904416.2,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
8,5.991671608540333e-14,,,,,,,,,,,,,,,,,,,coordination,1,0.05455493588206231,-0.007212248801593546,0.0,-0.007212248801593546,0.2,0,0,13,0.00021634568617436706,0.36159288616890933,106558352446014.12,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
9,6.206369920990685e-14,,,,,,,,,,,,,,,,,,,surface,1,-0.32781983352966626,-0.30494243304850244,-0.0010985992859104954,-0.30164663519077095,0.2,0,1,12,0.000588643373655745,0.9941800899859196,93925356558990.97,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
10,6.582957150669504e-14,,,,,,,,,,,,,,,,,,,random_bulk,1,0.04554133049991656,0.030837476913617934,0.0,0.030837476913617934,0.2,0,0,13,0.009478722675572607,0.48528006397970164,99365077532024.77,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
11,6.747538830658804e-14,,,,,,,,,,,,,,,,,,,growth_front,1,0.03985204418191879,0.11581280199413158,0.0010985992859104954,0.11251700413640009,0.2,0,0,12,0.0035956140320981024,0.19062640493161828,105613701735866.14,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
