step,kmc_time,total_energy,energy_per_atom,energy_per_puo2,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,crystalline_core_size,growth_front_size,accepted_event_kind,event_applied,predicted_delta_E,exact_delta_E_if_checked,exact_delta_order_if_checked,order_biased_score_if_checked,max_exact_delta_e_above,reject_for_close_contact,used_exact_rate,exact_checked_candidates,uncertainty,good_event_probability,total_rate,candidate_events_requested,candidate_events_generated,candidate_events_rejected,current_max_displacement,temperature,order_bias_lambda,n_jobs
0,1.0651432210916176e-15,-6505.217770595164,-15.488613739512296,-46.46584121853689,136.0,219.0,355.0,268.0,87.0,1.542857142857143,0.5190476190476191,0.6374622356495468,0.7107142857142857,2.82570302947969,1.9009918970705793,2.021269335289979,2.9107621757321533,245.0,167.0,rejected_coordination,0,-0.004694500484450539,0.4964861293224061,0.0,0.4964861293224061,0.2,0,0,13,0.0025847582128125358,0.7211958785562704,100977861184192.6,64,64,0,0.35,3600.0,3.0,1
1,1.7291977458751213e-15,,,,,,,,,,,,,,,,,,,surface,1,-0.10495730043621479,-0.04328740916042406,-0.0010985992859104954,-0.039991611302692576,0.2,0,1,12,0.003093853662902976,0.9872699068984047,97451133982175.84,64,64,0,0.35,3600.0,3.0,1
2,2.5624115047903897e-15,,,,,,,,,,,,,,,,,,,coordination,1,-0.743835397195438,-0.9326117007656496,0.0010985992859104954,-0.9359074986233811,0.2,0,1,11,0.01888618761532701,0.9967461833022541,103680041399017.97,64,64,0,0.35,3600.0,3.0,1
3,1.6744713693784508e-14,,,,,,,,,,,,,,,,,,,random_bulk,1,-0.04272318431828047,-0.04448864970177979,0.0,-0.04448864970177979,0.2,0,1,12,0.003089154335813884,0.9627285003083387,97639947822325.0,64,64,0,0.35,3600.0,3.0,1
4,1.9615732021439435e-14,,,,,,,,,,,,,,,,,,,surface,1,-0.07479875110376183,0.1260707589798571,0.0,0.1260707589798571,0.2,0,0,13,0.008840735454712728,0.7034725071500382,109455698656341.67,64,64,0,0.35,3600.0,3.0,1
5,2.7898325600435734e-14,,,,,,,,,,,,,,,,,,,growth_front,1,-0.03650536654129174,0.07408703107784831,-0.0010985992859104954,0.0773828289355798,0.2,0,0,13,0.003403327824669143,0.2225158269566016,99863862990606.08,64,64,0,0.35,3600.0,3.0,1
6,2.947303157945599e-14,,,,,,,,,,,,,,,,,,,random_bulk,1,-0.014319951999738416,-0.023974729126482686,0.0010985992859104954,-0.027270526984214172,0.2,0,0,11,0.0016924102891458497,0.7018045596224669,104898252501936.84,64,64,0,0.35,3600.0,3.0,1
7,4.525986742326148e-14,,,,,,,,,,,,,,,,,,,coordination,1,-0.011408139049617572,0.02701413000897901,0.0,0.02701413000897901,0.2,0,0,13,0.005900642660655611,0.6316525863956464,100791626904416.2,64,64,0,0.35,3600.0,3.0,1
8,5.991671608540333e-14,,,,,,,,,,,,,,,,,,,coordination,1,0.05455493588206231,-0.007212248801593546,0.0,-0.007212248801593546,0.2,0,0,13,0.00021634568617436706,0.36159288616890933,106558352446014.12,64,64,0,0.35,3600.0,3.0,1
9,6.206369920990685e-14,,,,,,,,,,,,,,,,,,,surface,1,-0.32781983352966626,-0.30494243304850244,-0.0010985992859104954,-0.30164663519077095,0.2,0,1,12,0.000588643373655745,0.9941800899859196,93925356558990.97,64,64,0,0.35,3600.0,3.0,1
10,6.582957150669504e-14,,,,,,,,,,,,,,,,,,,random_bulk,1,0.04554133049991656,0.030837476913617934,0.0,0.030837476913617934,0.2,0,0,13,0.009478722675572607,0.48528006397970164,99365077532024.77,64,64,0,0.35,3600.0,3.0,1
11,6.747538830658804e-14,,,,,,,,,,,,,,,,,,,growth_front,1,0.03985204418191879,0.11581280199413158,0.0010985992859104954,0.11251700413640009,0.2,0,0,12,0.0035956140320981024,0.19062640493161828,105613701735866.14,64,64,0,0.35,3600.0,3.0,1
12,6.761656041384282e-14,,,,,,,,,,,,,,,,,,,surface,1,-0.034912962574570605,-0.007811504249101375,0.0,-0.007811504249101375,0.2,0,0,13,0.004450600677159064,0.7878446997772518,109625072940469.5,64,64,0,0.35,3600.0,3.0,1
13,7.632690847415728e-14,,,,,,,,,,,,,,,,,,,surface_compression,1,0.1451564026407861,0.16378034636807826,0.0,0.16378034636807826,0.2,0,0,13,0.004748390110576373,0.03088808714475515,103522883351441.9,64,64,0,0.35,3600.0,3.0,1
14,8.12236391744644e-14,,,,,,,,,,,,,,,,,,,coordination,1,0.20972056632433553,0.049666977280196534,0.0,0.049666977280196534,0.2,0,1,12,0.04813855785326457,0.17384710823693586,96467374768054.08,64,64,0,0.35,3600.0,3.0,1
15,8.127478275527064e-14,,,,,,,,,,,,,,,,,,,surface,1,0.09009377448297974,0.015954150952822488,0.0,0.015954150952822488,0.2,0,0,13,0.0011902881120482017,0.2890695190589711,96933577093639.97,64,64,0,0.35,3600.0,3.0,1
16,8.134740290691199e-14,,,,,,,,,,,,,,,,,,,local_cluster_affine,1,0.0943399265339882,0.10885099004027565,-0.0010985992859104954,0.11214678789800714,0.2,0,0,12,0.002248570110904874,0.5246569300634668,99382447704728.81,64,64,0,0.35,3600.0,3.0,1
17,8.283595241471044e-14,,,,,,,,,,,,,,,,,,,random_surface,1,0.03259031075811554,0.1357202944438125,0.0,0.1357202944438125,0.2,0,0,12,0.014057862850463388,0.43151948555187425,105758606008835.88,64,64,0,0.35,3600.0,3.0,1
18,9.144901653890877e-14,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.06072514461098083,-0.07620196395930634,0.0,-0.07620196395930634,0.2,0,1,12,0.00245775964293711,0.9807915300559361,95560173049478.53,64,64,0,0.35,3600.0,3.0,1
19,9.154470239961413e-14,,,,,,,,,,,,,,,,,,,coordination,1,0.05303769244468373,-0.05236156172023598,0.0,-0.05236156172023598,0.2,0,0,13,0.0016050921592810248,0.8470901898256641,98025578199923.8,64,64,0,0.35,3600.0,3.0,1
20,9.384361937218834e-14,,,,,,,,,,,,,,,,,,,surface,1,0.004504384531566534,-0.010012105508774738,0.0,-0.010012105508774738,0.2,0,0,13,0.000859360011826371,0.7128025256361997,111912754292362.38,64,64,0,0.35,3600.0,3.0,1
21,9.782072140183875e-14,,,,,,,,,,,,,,,,,,,growth_front,1,0.013088954596096785,-0.27807712916035854,0.0,-0.27807712916035854,0.2,0,0,13,0.013283071397773514,0.4166578120502064,98421100284884.69,64,64,0,0.35,3600.0,3.0,1
22,1.0330233120273732e-13,,,,,,,,,,,,,,,,,,,surface,1,0.006636810666602807,0.0022870223064543893,0.0,0.0022870223064543893,0.2,0,0,13,0.00028982819050722697,0.6461285721754876,105226670192004.25,64,64,0,0.35,3600.0,3.0,1
23,1.2002012514306693e-13,,,,,,,,,,,,,,,,,,,random_bulk,1,-0.17741635200208383,-0.4502328265029103,0.0,-0.4502328265029103,0.2,0,1,12,0.04050542458380253,0.8847352733688987,103457790297982.69,64,64,0,0.35,3600.0,3.0,1
24,1.204618854283831e-13,,,,,,,,,,,,,,,,,,,growth_front,1,-0.1915369523775196,-0.40219098457591684,0.0,-0.40219098457591684,0.2,0,1,12,0.01586904653112038,0.9397035925580246,100672485887493.34,64,64,0,0.35,3600.0,3.0,1
25,1.2124833403178284e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.2407147417760812,-0.1391151019095016,0.014726706315491334,-0.1832952208559756,0.2,0,1,12,0.00028190050530325916,0.9954251730584738,95734048764494.81,64,64,0,0.35,3600.0,3.0,1
26,1.2361597794147403e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.024393299646433247,-0.04380150735539701,0.0,-0.04380150735539701,0.2,0,0,13,0.004388448066934189,0.9259592173572424,104666048336079.56,64,64,0,0.35,3600.0,3.0,1
27,1.3582719871729183e-13,,,,,,,,,,,,,,,,,,,growth_front,1,-0.1213577878577945,-0.09616122621385159,0.0,-0.09616122621385159,0.2,0,1,12,0.003840872602709322,0.9328247505171962,98176798442670.28,64,64,0,0.35,3600.0,3.0,1
28,1.479480359371462e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.06396332319018701,-0.24284250214565972,0.0,-0.24284250214565972,0.2,0,1,11,0.029206727872450836,0.9754646432646535,89554883164588.4,64,64,0,0.35,3600.0,3.0,1
29,1.6802907449284515e-13,,,,,,,,,,,,,,,,,,,surface,1,-0.08171709374288162,-0.11382057406255441,0.0,-0.11382057406255441,0.2,0,1,12,0.00036132265147334475,0.9419621015278185,109164672325938.6,64,64,0,0.35,3600.0,3.0,1
30,1.7874280705990866e-13,,,,,,,,,,,,,,,,,,,rejected_snap_to_fluorite_site,0,0.021231857823919544,0.3885433425964635,0.0,0.3885433425964635,0.2,0,0,12,0.007314518754394551,0.24613998035493226,96550434016696.83,64,64,0,0.35,3600.0,3.0,1
31,1.8851690977641627e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.4551864454815572,-0.348307202660429,0.0,-0.348307202660429,0.2,0,1,12,0.012644196998654877,0.9888904388450916,96248866527125.1,64,64,0,0.35,3600.0,3.0,1
32,1.9436217380338963e-13,,,,,,,,,,,,,,,,,,,rejected_surface,0,-0.006788031932059936,0.2085848012143856,0.0,0.2085848012143856,0.2,0,0,12,0.005725227082197939,0.2614129093445974,94230962771087.5,64,64,0,0.35,3600.0,3.0,1
33,2.118332781633942e-13,,,,,,,,,,,,,,,,,,,coordination,1,0.08244804390867447,-0.08560911018481931,0.0,-0.08560911018481931,0.2,0,0,12,0.021507427477326937,0.7064006580754162,99754184058880.66,64,64,0,0.35,3600.0,3.0,1
34,2.2566562835275718e-13,,,,,,,,,,,,,,,,,,,surface,1,-0.15269070014391878,-0.10208744450346074,0.0,-0.10208744450346074,0.2,0,1,12,0.024976381121869715,0.9665249150364956,103861869366297.42,64,64,0,0.35,3600.0,3.0,1
35,2.3480700491676547e-13,,,,,,,,,,,,,,,,,,,surface,1,-0.042302739289768916,-0.02991811297390612,0.0,-0.02991811297390612,0.2,0,1,11,0.004057189388146004,0.953150949750107,101174701207920.23,64,64,0,0.35,3600.0,3.0,1
36,2.3936761999602557e-13,,,,,,,,,,,,,,,,,,,surface,1,-0.033581425888718194,-0.03855745146310241,0.0,-0.03855745146310241,0.2,0,0,13,0.0018867201375030763,0.7385388491127601,104556547225262.56,64,64,0,0.35,3600.0,3.0,1
37,2.411411748009901e-13,,,,,,,,,,,,,,,,,,,growth_front,1,-0.4039976993701403,-0.3058372564124099,0.0,-0.3058372564124099,0.2,0,1,12,0.016871547269971088,0.9923185055691064,95073468595943.16,64,64,0,0.35,3600.0,3.0,1
38,2.5171872876851045e-13,,,,,,,,,,,,,,,,,,,random_surface,1,-0.1150762861795213,-0.14536857387847135,0.0,-0.14536857387847135,0.2,0,0,13,0.006068101784095226,0.8818097404489901,103764772180151.86,64,64,0,0.35,3600.0,3.0,1
39,2.7125203724736533e-13,,,,,,,,,,,,,,,,,,,rejected_growth_front,0,0.20407159716394394,0.7589837963606598,0.0,0.7589837963606598,0.2,0,0,13,0.005256247255374269,0.3323560839499454,100261240112329.47,64,64,0,0.35,3600.0,3.0,1
40,2.809098123153607e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.21972401188364712,-0.30524609044698536,0.0,-0.30524609044698536,0.2,0,1,12,0.013092597661232053,0.9842565444216792,109699499381508.94,64,64,0,0.35,3600.0,3.0,1
41,2.8192102657284426e-13,,,,,,,,,,,,,,,,,,,coordination,1,0.058993413374666695,0.13988601199708484,0.0,0.13988601199708484,0.2,0,0,13,0.005048924254904299,0.16774837657772626,105648615453338.88,64,64,0,0.35,3600.0,3.0,1
