step,total_energy,energy_per_atom,energy_per_puo2,event_applied,accepted_event_kind,exact_delta_E_if_checked,predicted_delta_E,uncertainty,good_event_probability,total_rate,kmc_time,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,wall_time_s,steps_per_second
39,,,,1,coordination,0.36989294366092906,0.36989294366092906,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
40,,,,1,coordination,0.034314284271513174,0.034314284271513174,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
41,,,,1,coordination,0.01574679930500622,0.01574679930500622,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
42,,,,1,surface,-0.15009332661177055,-0.15009332661177055,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
43,,,,1,random_surface,-0.4427980552724726,-0.4427980552724726,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
44,,,,1,random_surface,-0.04883045501846439,-0.04883045501846439,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
45,,,,1,relaxation,-0.3088390583823255,-0.3088390583823255,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
46,,,,1,random_bulk,-0.2753451189108205,-0.2753451189108205,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
47,,,,0,rejected_coordination,0.2275140478947293,0.2275140478947293,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
48,,,,1,surface,-0.03549004128707267,-0.03549004128707267,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
49,-6542.5583256360715,-15.577519822943028,-46.73255946882908,1,surface,0.04129061110862864,0.04129061110862864,0.0,0.0,,,134.0,224.0,358.0,275.0,83.0,1.542857142857143,0.5261904761904762,0.6398809523809523,0.7101190476190476,2.772115776600082,1.9006797093009276,2.0090862665787728,3.057794273615278,29.79019789999802,10.070426554635944
50,,,,1,surface_compression,-0.10419925474358749,-0.10419925474358749,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
51,,,,1,coordination,-0.004710605472965312,-0.004710605472965312,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
52,,,,0,rejected_surface,0.18820282659578425,0.18820282659578425,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
53,,,,1,relaxation,-0.1843332054810567,-0.1843332054810567,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
54,,,,1,random_surface,-0.055259069152501894,-0.055259069152501894,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
55,,,,1,surface_compression,-0.06272202038200803,-0.06272202038200803,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
56,,,,1,random_surface,-0.5313933133262019,-0.5313933133262019,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
57,,,,1,coordination,-0.4295067653701139,-0.4295067653701139,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
58,,,,1,surface_compression,-0.2719695982093313,-0.2719695982093313,0.0,1.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
59,,,,1,random_bulk,0.2363691920310913,0.2363691920310913,0.0,0.0,,,,,,,,,,,,,,,,29.79019789999802,10.070426554635944
