step,kmc_time,total_energy,energy_per_atom,energy_per_puo2,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,crystalline_core_size,growth_front_size,accepted_event_kind,event_applied,predicted_delta_E,exact_delta_E_if_checked,exact_delta_order_if_checked,order_biased_score_if_checked,max_exact_delta_e_above,reject_for_close_contact,used_exact_rate,exact_checked_candidates,uncertainty,good_event_probability,total_rate,candidate_events_requested,candidate_events_generated,candidate_events_rejected,current_max_displacement,temperature,order_bias_lambda,n_jobs,stage
10,1.0094183924741183e-13,,,,,,,,,,,,,,,,,,,random_bulk,1,0.00894987425506075,-0.2486540665217163,0.0,-0.2486540665217163,0.2,0,1,12,0.04764294421061625,0.6718532613417141,93881499345186.14,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
11,1.0447457059380724e-13,,,,,,,,,,,,,,,,,,,local_cluster_affine,1,0.1081888439729951,0.027152623425549693,0.0,0.027152623425549693,0.2,0,0,12,0.0027110261828722226,0.1006030867312257,113417037566987.23,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
12,1.0537477577033204e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.08288474221248915,-0.1272291985043701,0.0,-0.1272291985043701,0.2,0,0,13,0.008558534686552592,0.7923242025533517,104624989424202.56,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
13,1.115705043679343e-13,,,,,,,,,,,,,,,,,,,snap_to_fluorite_site,1,-0.00640876242897331,-0.1792247790639383,0.0,-0.1792247790639383,0.2,0,0,13,8.6794922239133e-05,0.9135173058339732,102928432502217.25,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
14,1.280743406088097e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.04953189560504154,0.038128725650036444,0.0,0.038128725650036444,0.2,0,1,11,0.01740584407612661,0.9596932789632612,94576355685914.19,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
15,1.404137482428133e-13,,,,,,,,,,,,,,,,,,,rejected_local_cluster_affine,0,0.11965538268255475,0.7674714568464185,0.0,0.7674714568464185,0.2,0,0,13,0.000992472147727838,0.28380832353059965,90655441741898.47,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
16,1.4970849847979066e-13,,,,,,,,,,,,,,,,,,,snap_to_fluorite_site,1,-0.14969725280489954,-0.026466526516177424,0.0,-0.026466526516177424,0.2,0,0,13,0.0005069659059887266,0.7903981252697779,112255395944585.3,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
17,1.5682295044615352e-13,,,,,,,,,,,,,,,,,,,random_surface,1,-0.02950448279359253,-0.01614939822800565,0.0,-0.01614939822800565,0.2,0,0,12,0.007085966887029428,0.6141407866166396,104449204934800.11,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
18,1.9494705356968317e-13,,,,,,,,,,,,,,,,,,,coordination,1,0.1060002763096134,0.13585101613950457,0.0,0.13585101613950457,0.2,0,0,13,0.018476970015509873,0.11035799322419147,98980853067797.31,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
19,2.0574921089390425e-13,,,,,,,,,,,,,,,,,,,rejected_surface,0,0.06284975475093049,0.48552206679488563,0.0,0.48552206679488563,0.2,0,0,13,0.006652842682457919,0.35660473910149393,96508171238762.69,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
20,2.1786410403216915e-13,,,,,,,,,,,,,,,,,,,surface,1,-0.03569437422288323,0.03896940976362018,0.0,0.03896940976362018,0.2,0,0,13,0.01221891713794271,0.878015022611682,94192778037980.92,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
21,2.2129357374497683e-13,,,,,,,,,,,,,,,,,,,surface,1,0.041328681217691676,0.19722707937317097,0.0,0.19722707937317097,0.2,0,0,13,0.019938374849231347,0.49666911385383644,99722439966499.97,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
22,2.5253396151616943e-13,,,,,,,,,,,,,,,,,,,local_cluster_affine,1,-0.037370823409169605,-0.042460688975020755,0.0,-0.042460688975020755,0.2,0,0,13,0.008919019018631895,0.9358981744948818,101159428416163.61,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
23,2.5710227291649146e-13,,,,,,,,,,,,,,,,,,,local_cluster_affine,1,0.020719129546082727,-0.014707610118088521,0.0,-0.014707610118088521,0.2,0,0,13,0.027924165855393014,0.4308268434174613,94975204806488.31,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
24,2.5994094174388425e-13,,,,,,,,,,,,,,,,,,,snap_to_fluorite_site,1,-0.14064491482650854,-0.04757741599778598,0.0,-0.04757741599778598,0.2,0,0,12,0.0054596396709973155,0.9188248454132752,107734973228776.72,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
25,2.627478325444855e-13,,,,,,,,,,,,,,,,,,,growth_front,1,-0.22314018655016027,-0.3131974652005667,0.0,-0.3131974652005667,0.2,0,0,13,0.008200844714959646,0.8254463038127823,110808689643324.84,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
26,2.690845234718043e-13,,,,,,,,,,,,,,,,,,,growth_front,1,-0.2297995251720726,-0.21819568424464109,0.0,-0.21819568424464109,0.2,0,1,12,0.021254989269877428,0.9726875397647413,96488141315536.31,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
27,2.81226813806151e-13,,,,,,,,,,,,,,,,,,,coordination,1,0.016075928942676645,-0.014629187082288553,0.0,-0.014629187082288553,0.2,0,0,13,0.007959816236987978,0.8391450930750689,105165637953865.66,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
28,2.867147708191079e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.049061863071184195,-0.052539607771244334,0.0,-0.052539607771244334,0.2,0,1,12,0.0007462913957753392,0.966166345946074,98795766800082.4,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
29,2.9139417026830856e-13,,,,,,,,,,,,,,,,,,,local_cluster_affine,1,0.010839666242537144,0.009695683999168203,0.0,0.009695683999168203,0.2,0,0,12,0.0017493778773667373,0.6833686138700839,93835522074655.42,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
30,2.923658058414102e-13,,,,,,,,,,,,,,,,,,,coordination,1,-0.14709338414521128,-0.7399007158950042,-0.0060240963855421326,-0.7218284267383778,0.2,0,1,12,0.0343477013372462,0.7906310824564247,97150304314680.34,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
31,2.9313665312625545e-13,,,,,,,,,,,,,,,,,,,random_bulk,1,-0.15864535871093483,0.022156697223682187,0.0,0.022156697223682187,0.2,0,0,13,0.008293415135050622,0.9046471841441984,94937429138299.16,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
32,3.039198939947232e-13,,,,,,,,,,,,,,,,,,,coordination,1,-0.04404267286879932,-0.001190473677745274,0.0,-0.001190473677745274,0.2,0,0,13,0.002869191886053793,0.7358482592150298,89294727251831.47,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
33,3.0862950290887254e-13,,,,,,,,,,,,,,,,,,,coordination,1,0.08929273926841408,-0.010211530937418445,0.0,-0.010211530937418445,0.2,0,0,13,0.008659984728722904,0.5764239626125193,103556636530572.33,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
34,3.1488077976976803e-13,,,,,,,,,,,,,,,,,,,coordination,1,0.026661812204918832,-0.0010541335409826047,0.0,-0.0010541335409826047,0.2,0,0,13,0.01418175352243004,0.38944695249039185,95472483874055.38,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
35,3.206655453446354e-13,,,,,,,,,,,,,,,,,,,surface,1,-0.14915640257550977,-0.16024529909836005,0.0,-0.16024529909836005,0.2,0,0,13,0.006892989318437542,0.9154403451830093,104702770599917.84,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
36,3.319039723508471e-13,,,,,,,,,,,,,,,,,,,coordination,1,0.02576904261453291,0.001283783258042348,0.0,0.001283783258042348,0.2,0,0,13,0.0045916842102539605,0.5930567462935308,103220787201045.31,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
37,3.3272250343078617e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.1806686004178772,-0.20916386934919728,0.0,-0.20916386934919728,0.2,0,1,11,0.009583273967776348,0.9687008602439552,110381356033167.8,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
38,3.524318337035248e-13,,,,,,,,,,,,,,,,,,,coordination,1,-0.01914348545574547,0.0600685873668354,0.0,0.0600685873668354,0.2,0,0,13,0.0008417739663984236,0.6753181693419098,92134094211771.69,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
39,3.572090208985005e-13,,,,,,,,,,,,,,,,,,,surface,1,-0.0398407260972915,-0.08547492152924363,0.0,-0.08547492152924363,0.2,0,0,13,0.003708160918205281,0.7118367099800116,99897345310512.53,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
40,3.597959664683897e-13,,,,,,,,,,,,,,,,,,,coordination,1,0.19922759608264723,0.1886744010079653,0.0060240963855421326,0.1706021118513389,0.2,0,0,13,0.005809508198712496,0.05449287121869895,113596698121217.03,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
41,3.692083217315855e-13,,,,,,,,,,,,,,,,,,,surface,1,0.12546939821690345,0.07093215443746459,0.0,0.07093215443746459,0.2,0,0,13,0.005133479444183339,0.10432782070653607,108399455390040.28,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
42,3.75486173615468e-13,,,,,,,,,,,,,,,,,,,coordination,1,-0.00843013724252418,0.02220224632514345,0.0,0.02220224632514345,0.2,0,0,13,0.004865091884363128,0.6508110098955707,112452259516412.08,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
43,3.86413663453555e-13,,,,,,,,,,,,,,,,,,,coordination,1,0.026194274505318606,0.059073452644721414,0.0,0.059073452644721414,0.2,0,0,13,0.00611043110328147,0.08761487808213785,105774874276997.56,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
44,3.981365156538592e-13,,,,,,,,,,,,,,,,,,,random_bulk,1,0.023181432927943155,-7.194593507620084e-06,0.0,-7.194593507620084e-06,0.2,0,0,12,0.004390420291021926,0.5671078671770364,100558468348482.47,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
45,4.1630043557820766e-13,,,,,,,,,,,,,,,,,,,growth_front,1,-0.1948761304444338,-0.18029717316262683,0.0,-0.18029717316262683,0.2,0,0,13,0.00825638635034616,0.9412876749921532,104271143319297.94,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
46,4.200855820690657e-13,,,,,,,,,,,,,,,,,,,random_surface,1,-0.011428107746698992,-0.012611329118817238,0.0,-0.012611329118817238,0.2,0,0,12,0.005518365806273422,0.519752571330928,104750493946512.11,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
47,4.3489772280151725e-13,,,,,,,,,,,,,,,,,,,local_cluster_affine,1,0.033416384826301465,0.12528014145951683,0.0,0.12528014145951683,0.2,0,0,13,0.006374180193418554,0.6727443231248672,116172222875559.62,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
48,4.40566687942117e-13,,,,,,,,,,,,,,,,,,,surface,1,-0.17435029565032995,-0.39559313194597223,0.0,-0.39559313194597223,0.2,0,1,12,0.0004567383058431962,0.9799585454104365,101289368214969.0,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
49,4.4566274976681783e-13,-6507.38601470042,-15.49377622547719,-46.481328676431566,136.0,219.0,355.0,269.0,86.0,1.542857142857143,0.5166666666666667,0.6295180722891566,0.7107142857142857,2.953712501696756,1.900482524122137,2.0218652433441227,2.8754096774145084,245.0,166.0,surface_compression,1,-0.0820126865616502,-0.23312408642286186,0.0,-0.23312408642286186,0.2,0,0,13,0.0008543024563587159,0.9264305588734633,109641519748129.81,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
50,4.601371360034429e-13,,,,,,,,,,,,,,,,,,,local_cluster_affine,1,-0.004564284714801496,-0.03149193852154397,0.0,-0.03149193852154397,0.2,0,0,12,0.003295075432655609,0.23548384338720912,101937146914376.6,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
51,4.613365725124381e-13,,,,,,,,,,,,,,,,,,,surface,1,0.10554217584817885,0.11636305816089276,0.0,0.11636305816089276,0.2,0,0,13,0.003201841397807194,0.09864646638137185,104695222085055.53,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
52,4.845451130553341e-13,,,,,,,,,,,,,,,,,,,random_bulk,1,0.05093029420365531,-0.14509809126861484,0.0,-0.14509809126861484,0.2,0,0,13,0.011896140570101875,0.22290241899208715,83051267954209.0,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
53,5.028380380910808e-13,,,,,,,,,,,,,,,,,,,coordination,1,-0.03464853048923477,-0.004186342628976547,0.0,-0.004186342628976547,0.2,0,0,13,0.012322801104854557,0.8150206424195375,118262878363720.66,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
54,5.056278519296431e-13,,,,,,,,,,,,,,,,,,,surface,1,-0.04410130363186396,-0.07749351055304743,0.0,-0.07749351055304743,0.2,0,0,13,0.011285832098719698,0.8891607049193775,110727483687328.38,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
55,5.21930975372793e-13,,,,,,,,,,,,,,,,,,,coordination,1,0.03504672917731894,-0.052703773736524795,0.0,-0.052703773736524795,0.2,0,0,13,0.0008021065652624657,0.7105321736779597,100678499455150.2,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
56,5.259626830993567e-13,,,,,,,,,,,,,,,,,,,growth_front,1,0.11430945173368245,0.0023297947839111544,0.0,0.0023297947839111544,0.2,0,0,13,0.01578701211603168,0.1481629093028343,96113145915342.0,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
57,5.29177618618979e-13,,,,,,,,,,,,,,,,,,,local_cluster_affine,1,-0.2600006098243905,0.061137245696097686,0.0,0.061137245696097686,0.2,0,0,13,0.015437655486913782,0.8677742098894461,102998187685412.4,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
58,5.520803400230364e-13,,,,,,,,,,,,,,,,,,,snap_to_fluorite_site,1,-0.034366048410613144,-0.4679899482024652,0.0,-0.4679899482024652,0.2,0,0,11,0.010858051866500703,0.6211229663366894,89753947915789.56,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
59,5.579390462808149e-13,,,,,,,,,,,,,,,,,,,surface,1,-0.1754344754115586,-0.2950536570406861,0.0,-0.2950536570406861,0.2,0,0,12,0.005646827051785888,0.899789621403368,103126760161031.19,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
60,5.579490906826076e-13,,,,,,,,,,,,,,,,,,,coordination,1,-0.08717459825060972,-0.010683786707268439,0.0,-0.010683786707268439,0.2,0,0,12,0.024058628605886645,0.9410786777731662,111202349998277.06,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
61,5.613553541938979e-13,,,,,,,,,,,,,,,,,,,surface,1,-0.03582956151339694,-0.15636973168366453,0.0,-0.15636973168366453,0.2,0,0,12,0.001961677244288876,0.916181950642817,101610389496249.03,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
62,5.614257753014422e-13,,,,,,,,,,,,,,,,,,,surface,1,-0.4009391636256161,-0.4362661855026211,0.0,-0.4362661855026211,0.2,0,1,12,0.017842597985514658,0.9971510545924409,105532822408946.88,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
63,5.657821195203679e-13,,,,,,,,,,,,,,,,,,,coordination,1,-0.25779337043776873,-0.7381418963931736,0.0,-0.7381418963931736,0.2,0,0,13,0.007146719642794147,0.6812896772806056,108777842437170.48,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
64,5.80054321169799e-13,,,,,,,,,,,,,,,,,,,rejected_growth_front,0,0.053681809746967395,0.3038584151273085,0.0,0.3038584151273085,0.2,0,0,13,0.0024584269877029816,0.4599335445675355,93754409626186.25,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
65,5.943456622531475e-13,,,,,,,,,,,,,,,,,,,snap_to_fluorite_site,1,-0.04730089772781633,-0.19369566772663305,0.0,-0.19369566772663305,0.2,0,0,13,0.03103674938819477,0.7123000906877954,102817958841530.34,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
66,6.240625278078109e-13,,,,,,,,,,,,,,,,,,,surface,1,0.06832910591028013,0.10949201928713848,0.0,0.10949201928713848,0.2,0,0,13,0.009498865796185904,0.13384417905557658,91568221605868.5,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
67,6.242549669800774e-13,,,,,,,,,,,,,,,,,,,random_surface,1,-0.0368693786306382,-0.05520875359262334,0.0,-0.05520875359262334,0.2,0,0,13,0.0002375982520541782,0.8678761066627517,102508589736411.31,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
68,6.259393478505577e-13,,,,,,,,,,,,,,,,,,,random_bulk,1,-0.05146678852453798,-0.013171622348131962,0.0,-0.013171622348131962,0.2,0,0,13,0.005476389989774195,0.818559883990357,104844024306977.36,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
69,6.275216915583786e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,0.02894052146097498,0.03191271701364684,0.0,0.03191271701364684,0.2,0,0,13,0.0024257338749219086,0.8076634957310944,110125217968791.22,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
70,6.300675120829724e-13,,,,,,,,,,,,,,,,,,,growth_front,1,-0.5079071801210298,-0.426956140474811,-0.0018904446615289894,-0.42128480649022404,0.2,0,1,12,0.0013064198723474196,0.9940367345625166,101351882325938.1,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
71,6.390441483558346e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.29074250370539456,-0.48471724755115986,0.0,-0.48471724755115986,0.2,0,1,11,0.02848517103729606,0.9913061365487728,103919349733490.12,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
72,6.464190412910465e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.1493912535458894,-0.1743785823417383,0.0,-0.1743785823417383,0.2,0,1,11,0.01927423415153058,0.9918172535244573,104860254554199.73,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
73,6.572584530459477e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.032558984150465,-0.10285168870368722,0.0,-0.10285168870368722,0.2,0,1,12,0.005955971545792891,0.862793301084291,90326294352453.9,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
74,6.638127601112597e-13,,,,,,,,,,,,,,,,,,,snap_to_fluorite_site,1,0.21245918001061898,-0.02174580173907259,0.0,-0.02174580173907259,0.2,0,1,12,0.03222248646008209,0.12399733864259231,108651129818339.1,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
75,6.692564159711194e-13,,,,,,,,,,,,,,,,,,,rejected_surface,0,0.005207079883809349,0.20191950496194977,0.0,0.20191950496194977,0.2,0,0,13,0.007348382791619248,0.4250733382211494,101073008203547.69,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
76,6.859144569912245e-13,,,,,,,,,,,,,,,,,,,random_surface,1,0.021003291022927056,0.05424904226361349,0.0,0.05424904226361349,0.2,0,0,12,0.004230526398861354,0.46101869914280635,96717252754842.0,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
77,6.860097455172742e-13,,,,,,,,,,,,,,,,,,,surface,1,-0.06391944341698465,-0.18207116016613156,0.0,-0.18207116016613156,0.2,0,0,12,0.010328665694165115,0.9360686138809498,99806697127283.84,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
78,7.057955957047307e-13,,,,,,,,,,,,,,,,,,,random_bulk,1,0.022568696569716724,-0.00821204762097949,0.0,-0.00821204762097949,0.2,0,0,13,0.0012315076257527913,0.6361835398673551,100940071692913.1,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
79,7.196458907117316e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,0.07319602386311716,0.05873701538452636,0.001114887342432258,0.055392353357229585,0.2,0,0,13,0.012632456924574965,0.5609890590065839,108958162730194.23,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
80,7.204760327090364e-13,,,,,,,,,,,,,,,,,,,random_bulk,1,-0.08803722799849349,-0.05745388920542105,0.0,-0.05745388920542105,0.2,0,1,12,0.016813130798382106,0.9633760556839408,101894602760325.3,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
81,7.223969592981091e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.02330888428455753,-0.04071906436000461,0.0,-0.04071906436000461,0.2,0,0,13,0.006425616189296074,0.8900509488360447,105035043316983.73,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
82,7.338687837101823e-13,,,,,,,,,,,,,,,,,,,local_cluster_affine,1,0.014836158221532185,0.022286994761257173,0.0,0.022286994761257173,0.2,0,0,13,0.014066008420751957,0.5949007476067422,100230434441310.42,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
83,7.345063460120617e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.025300493340248684,0.003781963484122741,0.0,0.003781963484122741,0.2,0,0,13,0.000654699457768259,0.3139307444389179,93354465621112.9,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
84,7.427525288066306e-13,,,,,,,,,,,,,,,,,,,coordination,1,0.012147085735263477,0.02941198647154053,0.0,0.02941198647154053,0.2,0,0,13,0.0032435888361110133,0.4691114374869753,95485718218908.25,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
85,7.471491778978886e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.060979770326336516,-0.0163747267420149,0.0,-0.0163747267420149,0.2,0,0,11,0.007702111319269376,0.9152579785240231,100828953160166.66,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
86,7.500331677839996e-13,,,,,,,,,,,,,,,,,,,surface,1,0.06761692435661659,0.12855136622140328,0.0,0.12855136622140328,0.2,0,0,12,0.005682617373450546,0.06695851459191485,87054783886974.75,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
87,7.51558345881844e-13,,,,,,,,,,,,,,,,,,,random_surface,1,0.5390136965282974,0.18569989242094742,0.0,0.18569989242094742,0.2,0,0,12,0.0017362748195616229,0.06476810173274022,95376030688395.39,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
88,7.695107220791838e-13,,,,,,,,,,,,,,,,,,,growth_front,1,-0.01159084211727681,0.14843674126858986,0.0,0.14843674126858986,0.2,0,0,12,0.005458925481432498,0.34802517927301097,91784263584772.55,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
89,7.831375849081472e-13,,,,,,,,,,,,,,,,,,,random_bulk,1,-0.03170011877663953,-0.011982186004026119,0.0,-0.011982186004026119,0.2,0,0,13,0.013930838698248654,0.8243574378272571,87721776110254.97,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
90,7.861370271946971e-13,,,,,,,,,,,,,,,,,,,local_cluster_affine,1,-0.056439023439361684,-0.019912767347251448,0.0,-0.019912767347251448,0.2,0,0,13,0.0024859193154552484,0.9214057197595832,102871047502381.98,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
91,7.891440376646555e-13,,,,,,,,,,,,,,,,,,,random_surface,1,0.007641727304231828,-0.09363781458687725,0.0,-0.09363781458687725,0.2,0,0,13,0.004363885236003965,0.8954408354947648,102240998527601.39,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
92,7.924883210185804e-13,,,,,,,,,,,,,,,,,,,snap_to_fluorite_site,1,-0.16813480492203878,-0.2652618217640459,-0.0059880239520957446,-0.24729774990775866,0.2,0,0,13,0.0005906225538171439,0.9324469510942323,108949319672972.9,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
93,8.026752654704985e-13,,,,,,,,,,,,,,,,,,,snap_to_fluorite_site,1,0.045668205453045424,0.17813763455404796,0.0,0.17813763455404796,0.2,0,0,12,0.013046601240301894,0.483369424279258,95246246072397.39,64,64,0,0.35,3600.0,3.0,1,stage1_ordering
