step,kmc_time,total_energy,energy_per_atom,energy_per_puo2,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,crystalline_core_size,growth_front_size,accepted_event_kind,event_applied,predicted_delta_E,exact_delta_E_if_checked,exact_delta_order_if_checked,order_biased_score_if_checked,max_exact_delta_e_above,reject_for_close_contact,used_exact_rate,exact_checked_candidates,uncertainty,good_event_probability,total_rate,candidate_events_requested,candidate_events_generated,candidate_events_rejected,current_max_displacement,temperature,order_bias_lambda,n_jobs
0,7.459696090801102e-14,-6535.070008841918,-15.559690497242663,-46.67907149172799,135.0,220.0,355.0,258.0,97.0,1.5285714285714285,0.5261904761904762,0.6551724137931034,0.7136904761904762,2.7354976051091007,1.900786826474832,2.0110557295525524,2.9771145348717596,244.0,160.0,surface,1,-0.2557822491053318,-0.2874066408412954,0.0,-0.2874066408412954,0.2,0,1,12,0.009521249077281121,0.9873017312592605,46914464266800.37,64,64,0,0.35,2600.0,0.5,1
1,8.689944198981915e-14,,,,,,,,,,,,,,,,,,,growth_front,1,0.009965786630355137,-0.016526382539492346,0.0,-0.016526382539492346,0.2,0,0,13,0.008047471907857328,0.6434150514457835,57524575962323.07,64,64,0,0.35,2600.0,0.5,1
2,1.1646857065295302e-13,,,,,,,,,,,,,,,,,,,snap_to_fluorite_site,1,-0.07133679119466178,-0.30009429856606573,0.0,-0.30009429856606573,0.2,0,1,12,0.016045296518987662,0.8400591314135096,49467719664185.266,64,64,0,0.35,2600.0,0.5,1
3,1.6382559203700445e-13,,,,,,,,,,,,,,,,,,,rejected_local_cluster_affine,0,0.003992750176835204,0.5324980620976132,0.0,0.5324980620976132,0.2,0,0,13,0.004436690156315152,0.6078488730474813,47560969599513.92,64,64,0,0.35,2600.0,0.5,1
4,1.7557663500821433e-13,,,,,,,,,,,,,,,,,,,coordination,1,-0.007139067121155385,0.0004442123000671927,0.0,0.0004442123000671927,0.2,0,0,13,0.008534995351326007,0.6997129900611754,56012812733274.11,64,64,0,0.35,2600.0,0.5,1
5,1.8388229315989446e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,0.08108269113681504,-0.08295382721758315,0.0,-0.08295382721758315,0.2,0,0,13,0.006253935974598113,0.07818788598900728,48826728501442.57,64,64,0,0.35,2600.0,0.5,1
6,1.85034140918725e-13,,,,,,,,,,,,,,,,,,,surface,1,-0.28629806159128146,-0.4183124872960846,0.0,-0.4183124872960846,0.2,0,1,12,0.009139589482936111,0.9787230706047625,54578582794617.1,64,64,0,0.35,2600.0,0.5,1
7,1.9428394789989206e-13,,,,,,,,,,,,,,,,,,,local_cluster_affine,1,0.020377581267351307,0.009946055350220862,0.0,0.009946055350220862,0.2,0,0,13,0.0028441241775166177,0.4611383572601507,53604354407388.61,64,64,0,0.35,2600.0,0.5,1
8,1.9484785848610588e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,0.0023908506712674686,0.0034784985601774565,0.0031347962382445305,0.0019111004410551913,0.2,0,0,13,0.006756095390399454,0.5759363571689055,48728975916790.11,64,64,0,0.35,2600.0,0.5,1
9,2.1494762869653738e-13,,,,,,,,,,,,,,,,,,,random_surface,1,0.08549884272611008,-0.11792137529547553,0.0,-0.11792137529547553,0.2,0,0,13,0.009993337479068588,0.06570300899233991,46038962307847.5,64,64,0,0.35,2600.0,0.5,1
