step,accepted,energy,close_contact_penalty,objective
0.0,1.0,-6530.662118257114,0.2764391315171251,-5148.466460671489
1.0,1.0,-6530.915452702629,0.26152903085249785,-5223.27029844014
2.0,1.0,-6530.812049027025,0.25998560191372916,-5230.8840394583785
3.0,1.0,-6531.261740738497,0.23580166046083378,-5352.253438434328
4.0,1.0,-6531.810333780451,0.20443020847587512,-5509.659291401076
5.0,1.0,-6531.897078541597,0.185570057170373,-5604.046792689732
6.0,1.0,-6531.915231500894,0.18210731759865068,-5621.378643507641
7.0,1.0,-6531.967670421924,0.1752011877741197,-5655.961731551325
8.0,1.0,-6532.054845412313,0.16395735892329072,-5712.268050795859
9.0,0.0,-6532.054845412313,0.16395735892329072,-5712.268050795859
10.0,1.0,-6532.245079136797,0.15517473843185892,-5756.371386977503
11.0,1.0,-6532.433113188026,0.1467255343459235,-5798.8054414584085
12.0,1.0,-6532.573657356064,0.13904011255614313,-5837.373094575349
13.0,1.0,-6532.727815544964,0.13248462827249982,-5870.304674182465
14.0,1.0,-6532.809836827853,0.12869686029630478,-5889.325535346329
15.0,1.0,-6533.183131878433,0.1193676549024718,-5936.344857366074
16.0,1.0,-6533.1640517637425,0.11671213427517059,-5949.603380387889
17.0,1.0,-6533.251163406221,0.11340865700560133,-5966.207878378214
18.0,1.0,-6533.367344229726,0.10825321020590004,-5992.101293200226
19.0,1.0,-6533.329543711281,0.10803994055919905,-5993.129840915286
20.0,1.0,-6533.289173874007,0.10497215713267641,-6008.428388210626
21.0,1.0,-6533.46416232443,0.09833051357485784,-6041.811594450141
22.0,1.0,-6533.592328264465,0.09201431941557472,-6073.520731186592
23.0,1.0,-6533.659641497672,0.0876078318233862,-6095.620482380741
24.0,1.0,-6533.859391031583,0.08227074073801154,-6122.505687341525
25.0,1.0,-6533.9187773288195,0.07916125232033538,-6138.112515727143
26.0,1.0,-6533.920487276237,0.07738590214385219,-6146.9909765569755
27.0,1.0,-6533.946780102902,0.07381109588145843,-6164.89130069561
28.0,1.0,-6534.332193837847,0.06778428011579855,-6195.410793258854
29.0,1.0,-6534.549932294265,0.06332808183790106,-6217.9095231047595
30.0,1.0,-6534.759119795492,0.05800386898145542,-6244.739774888215
31.0,1.0,-6534.821269647056,0.05502292454952902,-6259.706646899412
32.0,1.0,-6534.973143090772,0.05104141394645295,-6279.766073358507
33.0,1.0,-6535.2694291644475,0.04758645614148543,-6297.337148457021
34.0,0.0,-6535.2694291644475,0.04758645614148543,-6297.337148457021
35.0,0.0,-6535.2694291644475,0.04758645614148543,-6297.337148457021
36.0,0.0,-6535.2694291644475,0.04758645614148543,-6297.337148457021
37.0,0.0,-6535.2694291644475,0.04758645614148543,-6297.337148457021
38.0,0.0,-6535.2694291644475,0.04758645614148543,-6297.337148457021
39.0,0.0,-6535.2694291644475,0.04758645614148543,-6297.337148457021
40.0,1.0,-6535.317399204616,0.04689173474475875,-6300.858725480822
41.0,1.0,-6535.477199683492,0.04354113312229609,-6317.7715340720115
42.0,0.0,-6535.477199683492,0.04354113312229609,-6317.7715340720115
43.0,0.0,-6535.477199683492,0.04354113312229609,-6317.7715340720115
44.0,0.0,-6535.477199683492,0.04354113312229609,-6317.7715340720115
45.0,1.0,-6535.596256683131,0.04305596175807994,-6320.316447892732
46.0,0.0,-6535.596256683131,0.04305596175807994,-6320.316447892732
47.0,0.0,-6535.596256683131,0.04305596175807994,-6320.316447892732
48.0,1.0,-6535.489418898596,0.041975254486624564,-6325.613146465474
49.0,1.0,-6535.763220274508,0.03658564428306562,-6352.83499885918
50.0,1.0,-6535.969290294783,0.033669618397085675,-6367.621198309354
51.0,1.0,-6535.992147647574,0.032233234494234896,-6374.825975176399
52.0,1.0,-6536.2946388490545,0.029541601178207408,-6388.586632958018
53.0,1.0,-6536.409895535313,0.027158278100846027,-6400.618505031082
54.0,1.0,-6536.591124514436,0.024629882794660257,-6413.441710541135
55.0,1.0,-6536.839567859406,0.022013578629539524,-6426.771674711708
56.0,0.0,-6536.839567859406,0.022013578629539524,-6426.771674711708
57.0,1.0,-6536.805940398346,0.01953887998816345,-6439.1115404575285
58.0,1.0,-6536.795529923249,0.017890374822408635,-6447.343655811206
59.0,1.0,-6536.844774468516,0.01592941372810676,-6457.197705827983
60.0,1.0,-6536.900914287313,0.014264781379884376,-6465.577007387891
61.0,1.0,-6537.15289090616,0.012741440983402482,-6473.445685989147
62.0,0.0,-6537.15289090616,0.012741440983402482,-6473.445685989147
63.0,1.0,-6537.197742579983,0.011580690104114874,-6479.294292059409
64.0,1.0,-6537.142399281451,0.01037150439764799,-6485.284877293211
65.0,1.0,-6537.268072242521,0.009346680484304854,-6490.534669820997
66.0,0.0,-6537.268072242521,0.009346680484304854,-6490.534669820997
67.0,0.0,-6537.268072242521,0.009346680484304854,-6490.534669820997
68.0,1.0,-6537.419326858137,0.008373538252893057,-6495.551635593672
69.0,1.0,-6537.435355258651,0.0077214095562749266,-6498.828307477276
70.0,1.0,-6537.307471346539,0.006890664689217737,-6502.854147900451
71.0,1.0,-6537.4033145467365,0.006076195484897227,-6507.02233712225
72.0,1.0,-6537.458444713742,0.005611531781522432,-6509.40078580613
73.0,1.0,-6537.648647068476,0.004853616529353061,-6513.380564421711
74.0,1.0,-6537.654343025844,0.004112698400354698,-6517.090851024071
75.0,1.0,-6537.893857638339,0.003419044654930486,-6520.798634363687
76.0,0.0,-6537.893857638339,0.003419044654930486,-6520.798634363687
77.0,1.0,-6538.052134664942,0.0028819647607204466,-6523.64231086134
78.0,1.0,-6538.258379095616,0.0024344953220358434,-6526.085902485437
79.0,1.0,-6538.300945421175,0.002102962186734448,-6527.786134487503
80.0,1.0,-6538.452932829308,0.0018065823337232907,-6529.420021160692
81.0,0.0,-6538.452932829308,0.0018065823337232907,-6529.420021160692
82.0,1.0,-6538.513001199883,0.0016280877548925867,-6530.372562425419
83.0,1.0,-6538.64725317755,0.0014203657794859973,-6531.54542428012
84.0,1.0,-6538.782594775769,0.0012171395517531886,-6532.696897017004
85.0,1.0,-6538.829946282164,0.001048509014274036,-6533.587401210794
86.0,0.0,-6538.829946282164,0.001048509014274036,-6533.587401210794
87.0,1.0,-6538.984940060179,0.0008869405685301315,-6534.550237217528
88.0,1.0,-6539.000427702184,0.0007341389286447679,-6535.32973305896
89.0,1.0,-6539.122232639046,0.0005841716467057297,-6536.2013744055175
90.0,1.0,-6539.196256888846,0.00044327340350457594,-6536.9798898713225
91.0,1.0,-6539.292902771032,0.00032287240478114717,-6537.678540747126
92.0,1.0,-6539.642926933374,0.00020791115961233555,-6538.603371135312
93.0,0.0,-6539.642926933374,0.00020791115961233555,-6538.603371135312
94.0,0.0,-6539.642926933374,0.00020791115961233555,-6538.603371135312
95.0,0.0,-6539.642926933374,0.00020791115961233555,-6538.603371135312
96.0,0.0,-6539.642926933374,0.00020791115961233555,-6538.603371135312
97.0,1.0,-6539.6951019801445,0.00010650025765532965,-6539.162600691868
98.0,0.0,-6539.6951019801445,0.00010650025765532965,-6539.162600691868
99.0,1.0,-6539.797573299625,1.7663697009541294e-05,-6539.7092548145765
100.0,1.0,-6539.849135615278,9.750342817480417e-06,-6539.800383901191
101.0,0.0,-6539.849135615278,9.750342817480417e-06,-6539.800383901191
102.0,0.0,-6539.849135615278,9.750342817480417e-06,-6539.800383901191
103.0,0.0,-6539.849135615278,9.750342817480417e-06,-6539.800383901191
104.0,0.0,-6539.849135615278,9.750342817480417e-06,-6539.800383901191
105.0,0.0,-6539.849135615278,9.750342817480417e-06,-6539.800383901191
106.0,1.0,-6539.832367741249,6.0267460231209775e-06,-6539.802234011134
107.0,1.0,-6539.990691363067,2.5103236248866614e-06,-6539.978139744942
108.0,1.0,-6540.0018129806695,2.6223045728721325e-08,-6540.001681865441
109.0,1.0,-6540.117011368181,6.011675681305616e-09,-6540.116981309802
110.0,1.0,-6540.242468567904,0.0,-6540.242468567904
