step,kmc_time,total_energy,energy_per_atom,energy_per_puo2,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,accepted_event_kind,event_applied,predicted_delta_E,exact_delta_E_if_checked,used_exact_rate,exact_checked_candidates,uncertainty,good_event_probability,total_rate,candidate_events_requested,candidate_events_generated,candidate_events_rejected,current_max_displacement
31,1.5201192345777698e-13,,,,,,,,,,,,,,,,,surface_compression,1,0.031932128946896114,,0,18,0.037917872448733216,0.32274976823655277,189635867872697.12,128,128,0,0.35
32,1.566421890432433e-13,,,,,,,,,,,,,,,,,coordination,1,-0.027872642133284598,,0,17,0.022411757462118872,0.5460400273600043,198383747624451.75,128,128,0,0.35
33,1.574068327962024e-13,,,,,,,,,,,,,,,,,coordination,1,0.21266023591346936,,0,17,0.04766069205550253,0.1956200384781323,186532393875265.12,128,128,0,0.35
34,1.5856563228722858e-13,,,,,,,,,,,,,,,,,relaxation,1,0.16661663603723187,,0,17,0.04053734151564345,0.356284420345303,200054500925702.28,128,128,0,0.35
35,1.6003765994562336e-13,,,,,,,,,,,,,,,,,random_bulk,1,-0.2265203628131667,,0,18,0.051442694934966685,0.6078722113502691,192205320693175.2,128,128,0,0.35
36,1.6464262490979131e-13,,,,,,,,,,,,,,,,,surface_compression,1,0.05276610019808125,,0,16,0.029486833306953685,0.4240942695488808,201616231740350.06,128,128,0,0.35
37,1.6516821561506146e-13,,,,,,,,,,,,,,,,,surface,1,-0.1531860747037897,-0.3186844449818196,1,17,0.06274489679440994,0.7078518138998584,196555720400989.94,128,128,0,0.35
38,1.743846497139158e-13,,,,,,,,,,,,,,,,,surface_compression,1,-0.11346099773419076,-0.2165228701358899,1,16,0.03202412038698184,0.8647360362512011,182784160321144.75,128,128,0,0.35
39,1.9201627968839306e-13,,,,,,,,,,,,,,,,,coordination,1,0.01873510985078982,,0,16,0.02539019381765478,0.35190009150394547,188944842520840.8,128,128,0,0.35
40,1.9229638970143784e-13,,,,,,,,,,,,,,,,,surface_compression,1,-0.06292324700697834,,0,17,0.04808650191880478,0.3937778705007444,189528549908826.62,128,128,0,0.35
