step,accepted,energy,close_contact_penalty,objective
0.0,1.0,-6530.575012845387,0.2812962855003694,-5124.09358534354
1.0,1.0,-6530.771523251111,0.2704239791811465,-5178.651627345378
2.0,1.0,-6530.885573324276,0.2524000213813724,-5268.885466417414
3.0,1.0,-6531.227204435883,0.22995473624565432,-5381.453523207611
4.0,1.0,-6531.424434308272,0.21607541207130704,-5451.0473739517365
5.0,1.0,-6531.6676803011815,0.20496109957423814,-5506.862182429991
6.0,0.0,-6531.6676803011815,0.20496109957423814,-5506.862182429991
7.0,1.0,-6531.776949445488,0.19200758400259804,-5571.739029432498
8.0,1.0,-6531.991116314755,0.1775120245997559,-5644.430993315976
9.0,1.0,-6532.0976994932425,0.16214739987918741,-5721.360700097305
10.0,1.0,-6532.2924485069525,0.1616134313790678,-5724.225291611613
11.0,1.0,-6532.4335400549935,0.1411946669635877,-5826.460205237055
12.0,1.0,-6532.406274861252,0.13052189107571194,-5879.796819482693
13.0,1.0,-6532.539931538186,0.11951830769662888,-5934.948393055041
14.0,1.0,-6532.677253896849,0.11393266357463686,-5963.013936023664
15.0,1.0,-6533.1355982269115,0.09957601629619389,-6035.255516745942
16.0,1.0,-6533.54265098304,0.08991769426357177,-6083.954179665182
17.0,1.0,-6533.679988755816,0.08414303565231893,-6112.964810494222
18.0,1.0,-6533.90895935426,0.07814927826664422,-6143.162568021039
19.0,0.0,-6533.90895935426,0.07814927826664422,-6143.162568021039
20.0,1.0,-6534.217660540463,0.0707193278534841,-6180.621021273042
21.0,1.0,-6534.288865225109,0.06547067236586444,-6206.935503395786
22.0,1.0,-6534.457639252277,0.059340660605692395,-6237.754336223815
23.0,1.0,-6534.661724660157,0.053989570973977295,-6264.713869790271
24.0,1.0,-6534.856920186064,0.049024864034200234,-6289.732600015062
25.0,1.0,-6534.987665735861,0.04370065117775459,-6316.484409847088
26.0,1.0,-6535.273637995372,0.039634706786402664,-6337.100104063359
27.0,1.0,-6535.5307129907405,0.03671868090042272,-6351.9373084886265
28.0,1.0,-6535.549741488133,0.035441014389061935,-6358.344669542823
29.0,1.0,-6535.784951724315,0.03274938107303445,-6372.038046359143
30.0,1.0,-6536.159894169513,0.03010250809928163,-6385.647353673105
31.0,1.0,-6536.155009689907,0.02952894756442674,-6388.510271867774
32.0,1.0,-6536.16131808541,0.02874007262710568,-6392.460954949882
33.0,1.0,-6536.2681288306185,0.02628514686991963,-6404.84239448102
34.0,0.0,-6536.2681288306185,0.02628514686991963,-6404.84239448102
35.0,0.0,-6536.2681288306185,0.02628514686991963,-6404.84239448102
36.0,0.0,-6536.2681288306185,0.02628514686991963,-6404.84239448102
37.0,1.0,-6536.370879207737,0.0242033568769305,-6415.354094823085
38.0,1.0,-6536.4834972949075,0.02204175213264683,-6426.2747366316735
39.0,1.0,-6536.387981981271,0.020137931944985334,-6435.698322256344
40.0,1.0,-6536.555215963432,0.018270243933504,-6445.203996295912
