step,kmc_time,total_energy,energy_per_atom,energy_per_puo2,pu_coordination_defects,o_coordination_defects,total_coordination_defects,bulk_coordination_defects,surface_coordination_defects,mean_abs_coordination_error,fluorite_order_score,bulk_fluorite_order_score,soft_coordination_order_score,rdf_pu_o_peak_sharpness,min_distance_pu_o,min_distance_o_o,min_distance_pu_pu,crystalline_core_size,growth_front_size,accepted_event_kind,event_applied,predicted_delta_E,exact_delta_E_if_checked,exact_delta_order_if_checked,order_biased_score_if_checked,max_exact_delta_e_above,reject_for_close_contact,used_exact_rate,exact_checked_candidates,uncertainty,good_event_probability,total_rate,candidate_events_requested,candidate_events_generated,candidate_events_rejected,current_max_displacement,temperature,order_bias_lambda,stage
10,8.762697824740006e-14,,,,,,,,,,,,,,,,,,,surface,1,-0.020372846235360356,0.006372692617098608,0.0,0.006372692617098608,0.2,0,1,17,0.022020660835940998,0.7785151477961405,167943030820902.72,128,128,0,0.35,3300.0,4.0,stage1_ordering
11,9.0313191806324e-14,,,,,,,,,,,,,,,,,,,growth_front,1,-0.41999353024946556,-0.0879529546782507,0.0,-0.0879529546782507,0.2,0,1,16,0.1427262305464872,0.9212566548500313,172392627129396.56,128,128,0,0.35,3300.0,4.0,stage1_ordering
12,9.052664546244484e-14,,,,,,,,,,,,,,,,,,,coordination,1,0.010265956398503948,-0.033024412095883804,0.0,-0.033024412095883804,0.2,0,0,19,0.024961609401474825,0.5792402863948325,175535702385933.88,128,128,0,0.35,3300.0,4.0,stage1_ordering
13,9.876429161999887e-14,,,,,,,,,,,,,,,,,,,surface,1,-0.018704818722754545,-0.26418035453674626,0.0,-0.26418035453674626,0.2,0,0,19,0.03258865188333481,0.33665063304280607,165807711945552.7,128,128,0,0.35,3300.0,4.0,stage1_ordering
14,9.982945983789014e-14,,,,,,,,,,,,,,,,,,,random_bulk,1,0.2062526727214106,-0.009391264632405694,0.0,-0.009391264632405694,0.2,0,0,21,0.06917533216165533,0.5240598710296863,167437238358386.53,128,128,0,0.35,3300.0,4.0,stage1_ordering
15,1.0107703470260945e-13,,,,,,,,,,,,,,,,,,,surface,1,-0.021993316882112555,-0.13675995453863976,0.0,-0.13675995453863976,0.2,0,0,18,0.02745248674828042,0.2940970663426276,173291638395691.62,128,128,0,0.35,3300.0,4.0,stage1_ordering
16,1.0717583037336639e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.1632273190796323,-0.030208615718432696,0.001506024096385561,-0.03623271210397494,0.2,0,1,18,0.05471467302875634,0.7285090103980948,159961402773029.94,128,128,0,0.35,3300.0,4.0,stage1_ordering
17,1.1462396861315958e-13,,,,,,,,,,,,,,,,,,,random_surface,1,0.09123141428463732,0.1775401350590542,0.0,0.1775401350590542,0.2,0,0,19,0.0277742550857495,0.3664647821427405,169445503815584.88,128,128,0,0.35,3300.0,4.0,stage1_ordering
18,1.263460345665897e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.06766628989541558,-0.16684571680298532,0.0,-0.16684571680298532,0.2,0,1,18,0.05758221843957054,0.7500306432720889,183380073488354.9,128,128,0,0.35,3300.0,4.0,stage1_ordering
19,1.3075583239712662e-13,,,,,,,,,,,,,,,,,,,random_surface,1,-0.08794230056532057,-0.01757708785660128,0.0,-0.01757708785660128,0.2,0,0,18,0.03556256590005582,0.436207134965154,170633867518597.16,128,128,0,0.35,3300.0,4.0,stage1_ordering
20,1.5358711535608273e-13,,,,,,,,,,,,,,,,,,,coordination,1,-0.028299654718370138,-0.013767133307130308,0.0,-0.013767133307130308,0.2,0,1,17,0.02000832994207008,0.8030917230150297,173100394582639.12,128,128,0,0.35,3300.0,4.0,stage1_ordering
21,1.6824820475822173e-13,,,,,,,,,,,,,,,,,,,surface,1,0.1629624250159111,-0.32317620890813004,0.0,-0.32317620890813004,0.2,0,0,19,0.06652006046694697,0.3326607172375871,153597950974418.25,128,128,0,0.35,3300.0,4.0,stage1_ordering
22,1.798892933116701e-13,,,,,,,,,,,,,,,,,,,growth_front,1,-0.05524675791354518,-0.21611407597209364,0.0,-0.21611407597209364,0.2,0,0,18,0.050273599182691225,0.3255439970811257,173354042039124.8,128,128,0,0.35,3300.0,4.0,stage1_ordering
23,1.945056366533724e-13,,,,,,,,,,,,,,,,,,,surface,1,-0.21550504976172075,-0.11689867320069425,0.0,-0.11689867320069425,0.2,0,0,18,0.048460032122874,0.5485778173997107,168543447548450.25,128,128,0,0.35,3300.0,4.0,stage1_ordering
24,1.989730445164913e-13,,,,,,,,,,,,,,,,,,,random_surface,1,-0.0951347491639566,-0.054667155064493045,0.0,-0.054667155064493045,0.2,0,1,17,0.03997967553044551,0.7390078721186868,166951278135036.12,128,128,0,0.35,3300.0,4.0,stage1_ordering
25,2.0007414174966518e-13,,,,,,,,,,,,,,,,,,,surface,1,0.0293879508251585,-0.15266944513385994,0.0,-0.15266944513385994,0.2,0,0,20,0.03149413487386848,0.4127733336384288,173769882446718.06,128,128,0,0.35,3300.0,4.0,stage1_ordering
26,2.0240539888114345e-13,,,,,,,,,,,,,,,,,,,surface,1,0.12948747907472938,-0.0979005554322061,0.0,-0.0979005554322061,0.2,0,0,19,0.03544401609418998,0.11413482465867854,163711393695975.06,128,128,0,0.35,3300.0,4.0,stage1_ordering
27,2.0504572444850666e-13,,,,,,,,,,,,,,,,,,,random_bulk,1,-0.1646289976176586,-2.661426897176966e-05,0.0,-2.661426897176966e-05,0.2,0,0,19,0.04379079577784011,0.3967581314632403,173179949314253.5,128,128,0,0.35,3300.0,4.0,stage1_ordering
28,2.1277151386052096e-13,,,,,,,,,,,,,,,,,,,coordination,1,0.009731203254391666,-0.01142590636800378,0.0,-0.01142590636800378,0.2,0,0,18,0.032605424385422445,0.25028644439178166,171140157869709.7,128,128,0,0.35,3300.0,4.0,stage1_ordering
29,2.2014005326307175e-13,,,,,,,,,,,,,,,,,,,coordination,1,-0.035346951446612006,-0.029777825885140885,0.0,-0.029777825885140885,0.2,0,1,16,0.02980816780694161,0.6672282580320988,171930133984628.06,128,128,0,0.35,3300.0,4.0,stage1_ordering
30,2.2681233505214871e-13,,,,,,,,,,,,,,,,,,,random_bulk,1,-0.20677021476569343,-0.45038189393407535,0.0,-0.45038189393407535,0.2,0,0,16,0.052258088784581186,0.4924171360644753,174702147807652.4,128,128,0,0.35,3300.0,4.0,stage1_ordering
31,2.31885504286571e-13,,,,,,,,,,,,,,,,,,,surface,1,0.07311764639999069,0.11128005730857282,0.0,0.11128005730857282,0.2,0,0,21,0.043685087808882514,0.35676388408270004,168773978791808.25,128,128,0,0.35,3300.0,4.0,stage1_ordering
32,2.3669588772879535e-13,,,,,,,,,,,,,,,,,,,surface,1,0.11031150606094249,0.12906011271455498,0.0,0.12906011271455498,0.2,0,0,19,0.031459965241499445,0.4990135062617527,165437932671055.5,128,128,0,0.35,3300.0,4.0,stage1_ordering
33,2.4900941632926945e-13,,,,,,,,,,,,,,,,,,,random_surface,1,-0.10735691069145312,-0.08286504445220544,0.0,-0.08286504445220544,0.2,0,1,19,0.035433471077247085,0.7474127670819314,165854989886196.1,128,128,0,0.35,3300.0,4.0,stage1_ordering
34,2.641447907067925e-13,,,,,,,,,,,,,,,,,,,surface,1,-0.10654369036177648,-0.33940273102323104,0.0,-0.33940273102323104,0.2,0,0,18,0.08118207734195779,0.4973497553360346,177938567751977.97,128,128,0,0.35,3300.0,4.0,stage1_ordering
35,2.6823928862163896e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,0.036821897783991676,0.06218670435713136,0.0,0.06218670435713136,0.2,0,0,18,0.026011702970690987,0.3217251485691948,179893195366256.25,128,128,0,0.35,3300.0,4.0,stage1_ordering
36,3.2058036974732016e-13,,,,,,,,,,,,,,,,,,,random_surface,1,-0.015132665926641387,-0.010233867399790597,0.0,-0.010233867399790597,0.2,0,0,18,0.0196483024530144,0.5867407880217723,175871611328697.9,128,128,0,0.35,3300.0,4.0,stage1_ordering
37,3.224446544053946e-13,,,,,,,,,,,,,,,,,,,rejected_surface_compression,0,0.24367548137925407,0.21013009549655592,0.0,0.21013009549655592,0.2,0,0,21,0.03364724108109896,0.0839099814340754,167540611714703.44,128,128,0,0.35,3300.0,4.0,stage1_ordering
38,3.2350984435163335e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,0.05863918530378203,-0.24294817731102647,0.0,-0.24294817731102647,0.2,0,0,20,0.07352316961104355,0.5108911993702724,172052751348378.25,128,128,0,0.35,3300.0,4.0,stage1_ordering
39,3.2560711276033204e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.10688854241521994,-0.11990395714865798,0.0030487804878048808,-0.1320990790998775,0.2,0,0,18,0.030785738263332155,0.6326282260824996,172567982722740.44,128,128,0,0.35,3300.0,4.0,stage1_ordering
40,3.3493667179854787e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.020056888871160625,-0.08124574504049065,0.0,-0.08124574504049065,0.2,0,1,19,0.020736363188428867,0.8671250818295797,165889740330449.88,128,128,0,0.35,3300.0,4.0,stage1_ordering
41,3.5822804961510047e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.22218826398521474,-0.543007932474417,0.0,-0.543007932474417,0.2,0,0,17,0.0588663696896894,0.5684388871198826,165655048317266.44,128,128,0,0.35,3300.0,4.0,stage1_ordering
42,3.632256119569448e-13,,,,,,,,,,,,,,,,,,,random_bulk,1,0.03822463348572094,-0.13632796092647226,0.0,-0.13632796092647226,0.2,0,0,18,0.027692113229479214,0.5636794841837983,169743954241970.0,128,128,0,0.35,3300.0,4.0,stage1_ordering
43,3.6755303336902667e-13,,,,,,,,,,,,,,,,,,,growth_front,1,0.21081099820555554,0.07129364261229654,0.0,0.07129364261229654,0.2,0,0,18,0.03776537861785781,0.16616440878873703,174770372902404.53,128,128,0,0.35,3300.0,4.0,stage1_ordering
44,3.7232454087071906e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.10637388609500578,-0.06659668023889154,0.0,-0.06659668023889154,0.2,0,1,15,0.040574570375097714,0.793538198601014,182646489860733.6,128,128,0,0.35,3300.0,4.0,stage1_ordering
45,3.797517072759555e-13,,,,,,,,,,,,,,,,,,,rejected_coordination,0,0.1957548506157701,0.37569412967008375,0.0,0.37569412967008375,0.2,0,0,19,0.06240625591187269,0.4273172878883355,160203987603595.8,128,128,0,0.35,3300.0,4.0,stage1_ordering
46,3.907670997228967e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,0.031374145843025315,0.12074989474399445,0.0,0.12074989474399445,0.2,0,0,19,0.04053715118270801,0.18881817640430001,175412523783182.72,128,128,0,0.35,3300.0,4.0,stage1_ordering
47,3.9500320105775773e-13,,,,,,,,,,,,,,,,,,,coordination,1,-0.027620588131533317,-0.10434949071395039,0.0,-0.10434949071395039,0.2,0,0,18,0.01958623159668957,0.6015040811049563,166187033860386.3,128,128,0,0.35,3300.0,4.0,stage1_ordering
48,4.000681291401794e-13,,,,,,,,,,,,,,,,,,,coordination,1,-0.49426966778780995,0.06970355156200014,0.0030487804878048808,0.05750842961078062,0.2,0,1,20,0.1418727722708586,0.6515288284015497,172803413634299.0,128,128,0,0.35,3300.0,4.0,stage1_ordering
49,4.020536598979067e-13,,,,,,,,,,,,,,,,,,,coordination,1,-0.23334816381721155,-0.001784508747981306,0.0,-0.001784508747981306,0.2,0,0,20,0.05795225144362014,0.45081745427676,172385836475476.44,128,128,0,0.35,3300.0,4.0,stage1_ordering
50,4.060923709881173e-13,,,,,,,,,,,,,,,,,,,surface,1,0.015349517923239237,0.016880765883200866,0.0,0.016880765883200866,0.2,0,0,18,0.023530056474677905,0.7853853078673921,167096778856977.44,128,128,0,0.35,3300.0,4.0,stage1_ordering
51,4.077067462443635e-13,,,,,,,,,,,,,,,,,,,growth_front,1,-0.13176685815365144,-0.02968792159556699,0.0,-0.02968792159556699,0.2,0,0,18,0.06581225192282492,0.3858691417357323,169616167217190.88,128,128,0,0.35,3300.0,4.0,stage1_ordering
52,4.1300071334280497e-13,,,,,,,,,,,,,,,,,,,coordination,1,-0.016696926327400982,-0.05051808743419528,0.0,-0.05051808743419528,0.2,0,1,17,0.02076369511270969,0.796032522027841,171445908558413.72,128,128,0,0.35,3300.0,4.0,stage1_ordering
53,4.1432437505123536e-13,,,,,,,,,,,,,,,,,,,coordination,1,0.04929278416696344,-0.004728604252548507,0.0,-0.004728604252548507,0.2,0,0,20,0.047292946905283864,0.5933424179795384,155576978513317.06,128,128,0,0.35,3300.0,4.0,stage1_ordering
54,4.170839413467656e-13,,,,,,,,,,,,,,,,,,,growth_front,1,-0.10307033395671025,0.06497333306474928,0.0,0.06497333306474928,0.2,0,0,21,0.05117740837388412,0.5514156818857497,165538419828981.56,128,128,0,0.35,3300.0,4.0,stage1_ordering
55,4.265999740358534e-13,,,,,,,,,,,,,,,,,,,random_surface,1,-0.07230013728072235,-0.10868254140262934,0.0,-0.10868254140262934,0.2,0,1,19,0.037994880052356926,0.8206080290283215,165372337554098.75,128,128,0,0.35,3300.0,4.0,stage1_ordering
56,4.302430292420934e-13,,,,,,,,,,,,,,,,,,,coordination,1,0.16618478480631327,0.06451364445771901,0.0,0.06451364445771901,0.2,0,0,20,0.04695130512920198,0.35857436594624975,169710174889795.78,128,128,0,0.35,3300.0,4.0,stage1_ordering
57,4.330716181814381e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,0.06202919925237806,0.1035986256405863,0.0,0.1035986256405863,0.2,0,0,18,0.04949570651400233,0.39072333559695754,160600451616018.3,128,128,0,0.35,3300.0,4.0,stage1_ordering
58,4.4306207923956147e-13,,,,,,,,,,,,,,,,,,,growth_front,1,-0.5289763627089714,-0.03382463400368607,0.0,-0.03382463400368607,0.2,0,1,19,0.15874268167582553,0.6485147929615848,172413815092939.38,128,128,0,0.35,3300.0,4.0,stage1_ordering
59,4.4492481339820974e-13,,,,,,,,,,,,,,,,,,,snap_to_fluorite_site,1,0.31577203384647484,-0.13351914846801805,0.0,-0.13351914846801805,0.2,0,0,18,0.09238835895930463,0.16952481855072596,169063775557588.22,128,128,0,0.35,3300.0,4.0,stage1_ordering
60,4.4493727844653603e-13,,,,,,,,,,,,,,,,,,,coordination,1,0.017265444317044014,-0.007583102485202886,0.0,-0.007583102485202886,0.2,0,0,19,0.03267469351896048,0.4314847797706475,170873750965993.72,128,128,0,0.35,3300.0,4.0,stage1_ordering
61,4.4568508971797574e-13,,,,,,,,,,,,,,,,,,,local_cluster_affine,1,0.015140926656262576,-0.00033247448118345346,0.0,-0.00033247448118345346,0.2,0,0,20,0.021061680543237576,0.4126288701620026,181149534241295.72,128,128,0,0.35,3300.0,4.0,stage1_ordering
62,4.46683930856094e-13,,,,,,,,,,,,,,,,,,,random_surface,1,0.2158253677058618,-0.03632102657221381,0.0,-0.03632102657221381,0.2,0,0,19,0.09752529942646303,0.597779192012242,165680390304762.47,128,128,0,0.35,3300.0,4.0,stage1_ordering
63,4.501653581841857e-13,,,,,,,,,,,,,,,,,,,surface,1,-0.40252304610866013,-0.3269804125854847,0.0,-0.3269804125854847,0.2,0,1,17,0.14716982638260626,0.7448336929703734,170517646173113.88,128,128,0,0.35,3300.0,4.0,stage1_ordering
64,4.5200264638011537e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.6341953398583119,-0.6242123580274139,0.0,-0.6242123580274139,0.2,0,1,17,0.1493890428719253,0.7582193149633697,167955655782366.94,128,128,0,0.35,3300.0,4.0,stage1_ordering
65,4.552469364430807e-13,,,,,,,,,,,,,,,,,,,surface,1,0.10695943111188373,0.10647684332209195,-0.0015794886864531898,0.11279479806790471,0.2,0,0,20,0.03812514100701962,0.480538520273719,174798567678231.0,128,128,0,0.35,3300.0,4.0,stage1_ordering
66,4.776221298421e-13,,,,,,,,,,,,,,,,,,,growth_front,1,0.026818757273197436,-0.041293381439643895,0.0,-0.041293381439643895,0.2,0,0,19,0.021517972864126707,0.3917373824700627,161279443473939.62,128,128,0,0.35,3300.0,4.0,stage1_ordering
67,4.798379747051237e-13,,,,,,,,,,,,,,,,,,,snap_to_fluorite_site,1,0.10278752230812169,-0.017937787496132174,0.0,-0.017937787496132174,0.2,0,0,19,0.04101415330473952,0.644198185623448,169615649335075.3,128,128,0,0.35,3300.0,4.0,stage1_ordering
68,4.842958901711736e-13,,,,,,,,,,,,,,,,,,,coordination,1,-0.03039859501270302,-0.044639929201842676,0.0,-0.044639929201842676,0.2,0,0,20,0.029318403491564313,0.4278612997926193,164544420304725.7,128,128,0,0.35,3300.0,4.0,stage1_ordering
69,4.905128622909949e-13,,,,,,,,,,,,,,,,,,,random_bulk,1,-0.04627275618534022,-0.01576643642379949,0.0,-0.01576643642379949,0.2,0,0,19,0.08584352871364108,0.3989034045231536,165191611022568.94,128,128,0,0.35,3300.0,4.0,stage1_ordering
70,4.90937647417076e-13,,,,,,,,,,,,,,,,,,,snap_to_fluorite_site,1,-0.1747597026637959,-0.25728985634139434,0.0,-0.25728985634139434,0.2,0,0,21,0.08371441911923627,0.5151664933026092,169595765907871.47,128,128,0,0.35,3300.0,4.0,stage1_ordering
71,5.143281464925e-13,,,,,,,,,,,,,,,,,,,coordination,1,-0.4114090453346122,-0.04434863172667747,0.0,-0.04434863172667747,0.2,0,0,21,0.14341766041425744,0.4135782049456777,165039851843904.38,128,128,0,0.35,3300.0,4.0,stage1_ordering
72,5.193057614431316e-13,,,,,,,,,,,,,,,,,,,random_surface,1,-0.01611135221929753,-0.09552878902751871,0.0,-0.09552878902751871,0.2,0,1,19,0.029554488121554052,0.7811492148742448,177721873289066.75,128,128,0,0.35,3300.0,4.0,stage1_ordering
73,5.199837655310403e-13,,,,,,,,,,,,,,,,,,,random_surface,1,0.053312727056714214,0.13324374279815743,0.0,0.13324374279815743,0.2,0,0,20,0.06640798378582398,0.6254729224329934,163263502840719.56,128,128,0,0.35,3300.0,4.0,stage1_ordering
74,5.209647517543012e-13,,,,,,,,,,,,,,,,,,,rejected_growth_front,0,0.1924205776390016,1.0365064768309296,0.0,1.0365064768309296,0.2,0,0,18,0.042897049226793514,0.4313906988114211,163774944093542.0,128,128,0,0.35,3300.0,4.0,stage1_ordering
75,5.385657780572365e-13,,,,,,,,,,,,,,,,,,,rejected_coordination,0,-0.03662885238455289,0.3969939458320084,0.0,0.3969939458320084,0.2,0,0,20,0.0909895868531634,0.2924992737676829,167429420333396.75,128,128,0,0.35,3300.0,4.0,stage1_ordering
76,5.456586502979535e-13,,,,,,,,,,,,,,,,,,,surface,1,-0.015029177894359503,-0.1892493826846504,0.0,-0.1892493826846504,0.2,0,1,18,0.023167109996558403,0.7909826388701372,161387972256446.38,128,128,0,0.35,3300.0,4.0,stage1_ordering
77,5.529288083571476e-13,,,,,,,,,,,,,,,,,,,rejected_snap_to_fluorite_site,0,0.20254783797470685,0.449818503375635,0.0,0.449818503375635,0.2,0,0,19,0.04298332727045624,0.23457074797793118,164866573529514.62,128,128,0,0.35,3300.0,4.0,stage1_ordering
78,5.594506133962157e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,0.08338282216037764,0.044492528008184706,0.001112558341474057,0.04004229464228848,0.2,0,0,19,0.027074227966867818,0.32040019963368227,160812865676572.94,128,128,0,0.35,3300.0,4.0,stage1_ordering
79,5.59486760475737e-13,,,,,,,,,,,,,,,,,,,growth_front,1,-0.023834714474750714,-0.20585661855459847,0.0,-0.20585661855459847,0.2,0,0,19,0.043287859117051075,0.23363959377346663,172959648900682.75,128,128,0,0.35,3300.0,4.0,stage1_ordering
80,5.598511138163062e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,0.04087727567705199,-0.0057931385360170395,0.001105896315477195,-0.01021672379792582,0.2,0,0,19,0.02310738136783181,0.30524533376048524,171717501509515.47,128,128,0,0.35,3300.0,4.0,stage1_ordering
81,5.722064549583196e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.19314056979080294,-0.05548843417956917,0.0,-0.05548843417956917,0.2,0,0,20,0.08208487135780444,0.3989963469996312,163460030644601.06,128,128,0,0.35,3300.0,4.0,stage1_ordering
82,5.78892743331904e-13,,,,,,,,,,,,,,,,,,,random_bulk,1,0.16672827959908876,0.07447478079532388,0.0,0.07447478079532388,0.2,0,0,21,0.0682047222960435,0.37020038525206905,168922463400743.94,128,128,0,0.35,3300.0,4.0,stage1_ordering
83,5.812797455830948e-13,,,,,,,,,,,,,,,,,,,surface,1,-0.030905520406539343,-0.3530951578522945,0.0,-0.3530951578522945,0.2,0,0,20,0.05528366651784429,0.4245251095761684,163377061035554.25,128,128,0,0.35,3300.0,4.0,stage1_ordering
84,5.817085892151878e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,0.06308303048965684,-0.22574167857666794,0.0,-0.22574167857666794,0.2,0,0,20,0.05943823752546484,0.2861013598891629,173872389669839.8,128,128,0,0.35,3300.0,4.0,stage1_ordering
85,5.940895727045177e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.6380936574153802,-0.7880338745968452,0.0,-0.7880338745968452,0.2,0,1,15,0.15761932789291844,0.7728130006131045,178889688262201.12,128,128,0,0.35,3300.0,4.0,stage1_ordering
86,6.034724339780234e-13,,,,,,,,,,,,,,,,,,,rejected_snap_to_fluorite_site,0,0.17990709837216326,0.23806669945474113,0.0,0.23806669945474113,0.2,0,0,19,0.046494380203049704,0.1823537178887483,161181736637765.34,128,128,0,0.35,3300.0,4.0,stage1_ordering
87,6.142885341195532e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,0.1368481390947396,0.07380519811042419,0.0,0.07380519811042419,0.2,0,0,20,0.035233877150594596,0.4017235197099323,164152236338867.78,128,128,0,0.35,3300.0,4.0,stage1_ordering
88,6.150152569717569e-13,,,,,,,,,,,,,,,,,,,local_cluster_affine,1,-0.14727568896948195,0.1272757898477721,0.0,0.1272757898477721,0.2,0,1,19,0.06167695077307691,0.715637639830254,159134181362332.72,128,128,0,0.35,3300.0,4.0,stage1_ordering
89,6.192416719346594e-13,,,,,,,,,,,,,,,,,,,random_surface,1,-0.13441520199661638,-0.09986295117009192,0.0,-0.09986295117009192,0.2,0,1,19,0.039554804286560004,0.7039872833102524,167747730135267.06,128,128,0,0.35,3300.0,4.0,stage1_ordering
90,6.244522770960534e-13,,,,,,,,,,,,,,,,,,,local_cluster_affine,1,0.03919812000082399,-0.01822814492697944,0.0,-0.01822814492697944,0.2,0,0,20,0.028980522255326005,0.4641394716045204,158602358994722.8,128,128,0,0.35,3300.0,4.0,stage1_ordering
91,6.252838730816364e-13,,,,,,,,,,,,,,,,,,,coordination,1,-0.032374122705887076,-0.48517216596756185,0.0,-0.48517216596756185,0.2,0,0,20,0.09366177297620568,0.4739712633688615,170063971810698.56,128,128,0,0.35,3300.0,4.0,stage1_ordering
92,6.357837310022571e-13,,,,,,,,,,,,,,,,,,,coordination,1,0.23455672185058668,0.17176412527787477,0.0,0.17176412527787477,0.2,0,0,19,0.10483744379913394,0.2236988588254019,155253746311060.12,128,128,0,0.35,3300.0,4.0,stage1_ordering
93,6.41199573433065e-13,,,,,,,,,,,,,,,,,,,local_cluster_affine,1,-0.011747166931094252,-0.025424364030186553,0.0,-0.025424364030186553,0.2,0,0,21,0.02000418597257986,0.38223194151890627,161800027169909.8,128,128,0,0.35,3300.0,4.0,stage1_ordering
94,6.415179897076282e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,0.18402177322311405,0.07709969383350312,0.0,0.07709969383350312,0.2,0,0,18,0.08708868291209611,0.3640383343787074,172616072229442.3,128,128,0,0.35,3300.0,4.0,stage1_ordering
95,6.445485711272394e-13,,,,,,,,,,,,,,,,,,,surface_compression,1,-0.416528717088109,-0.07529563100979075,0.0,-0.07529563100979075,0.2,0,1,17,0.14814512680044528,0.7330261733136204,159285360800746.38,128,128,0,0.35,3300.0,4.0,stage1_ordering
96,6.462911503426818e-13,,,,,,,,,,,,,,,,,,,random_surface,1,-0.010544842698887209,0.1177012908893289,0.0,0.1177012908893289,0.2,0,0,20,0.04958933205102066,0.26752223370125916,167322868922151.6,128,128,0,0.35,3300.0,4.0,stage1_ordering
